Workout Title,Category,Routine Link,Tables,Summary
4 Day Dumbbell and Bodyweight Fat Loss Workout,https://www.muscleandstrength.com/workouts/bodyweight,https://www.muscleandstrength.com/workouts/single-pair-dumbbell-bodyweight-workout,"[{'title': 'Pull Day Workout', 'content': [[], ['One Arm Row', '5', '30, 25, 20, 15, 10'], ['Bent-Over Rear Lateral Raise', '3', '30, 20, 10'], ['One Arm Upright Row', '3', '30, 20, 10'], ['Seated Dumbbell Curl', '3', '20, 20, 20'], ['Hammer Curl', '3', '20, 20, 20'], ['Single Arm Dumbbell Shrug', '3', '30, 30, 30']]}, {'title': 'Legs and Abs Workout', 'content': [[], ['Split Squat', '3', '30, 20, 10'], ['Single Stiff-Leg Deadlift', '3', '30, 20, 10'], ['Walking Lunge', '3', '30, 20, 10'], ['Seated Calf Raise', '3', '30, 30, 30'], ['Weighted Crunch', '3', '20, 20, 20'], ['Superman', '3', '30 seconds']]}, {'title': 'Push Day Workout', 'content': [[], ['Floor Dumbbell Press', '5', '30, 25, 20, 15, 10'], ['Floor Dumbbell Fly', '3', '30, 20, 10'], ['Lateral Raise', '3', '30, 20, 10'], ['One Arm Overhead Extension', '3', '20, 20, 20'], ['One Arm Kickback', '3', '20, 20, 20'], ['Close Grip Push Up', '3', '20, 20, 20']]}, {'title': 'Full-Body Workout', 'content': [[], ['Dumbbell Standing Calf Raise', '1', '60 seconds', '60 seconds'], ['Stiff-Leg Deadlift', '1', '30 seconds', '30 seconds'], ['Bodyweight Squat Jumps', '1', '60 seconds', '60 seconds'], ['Lying Leg Raise', '1', '30 seconds', '30 seconds'], ['Plank', '1', '60 seconds', '60 seconds'], ['Dumbbell Pullover', '1', '30 seconds', '30 seconds'], ['Push Up', '1', '60 seconds', '60 seconds'], ['Arnold Press', '1', '30 seconds', '30 seconds'], ['Dumbbell Curl', '1', '60 seconds', '60 seconds']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '4', 'Time Per Workout': '30-60 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Recommended Supps': ""Protein Powder\nBCAA's\nFish Oil"", 'Workout PDF': 'Download Workout'}"
Full Body Bodyweight Workout,https://www.muscleandstrength.com/workouts/bodyweight,https://www.muscleandstrength.com/workouts/full-body-bodyweight-workout.html,"[{'title': 'Full Body Bodyweight Workout', 'content': [[], ['Jump Squat', '3', '10-15'], ['Push Up', '3', '15-20'], ['Pull Up', '3', '10-15'], ['Walking Lunge (Reps are for each leg)', '3', '10-15'], ['Dips', '3', '10-15'], ['Inverted Pull Ups', '3', '10-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '1', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary),https://www.muscleandstrength.com/workouts/bodyweight,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,"[{'title': 'Day 1: Every Minute On the Minute (EMOM)', 'content': [[], ['Sprint', '15 Seconds', '*'], ['Burpees', '15', '*'], ['Squat Jumps', '15', '*'], ['Walking Lunges', '8 Per Leg', '*'], ['Frog Sit Up', '15', '*'], ['Pushups', '15', '*'], ['Mountain Climbers', '15 Per Leg', '*'], ['Arm Circles', '15 Seconds', '*'], ['Shadow Boxing Combination', '15 Seconds', '*'], ['*Rest for remainder of minute between exercises']]}, {'title': 'Day 2: Circuit Training', 'content': [[], ['Sprint', '15 Seconds'], ['Burpees', '15'], ['Squat Jumps', '15'], ['Walking Lunges', '8 Per Leg'], ['Frog Sit Up', '15'], ['Pushups', '15'], ['Mountain Climbers', '15 Per Leg'], ['Arm Circles', '15 Seconds'], ['Shadow Boxing Combination', '15 Seconds']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '3', 'Time Per Workout': '20-35 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nFish Oil\nMultivitamin', 'Workout PDF': 'Download Workout'}"
Calisthenics for Lifters: 12 Week Workout to Improve Performance,https://www.muscleandstrength.com/workouts/bodyweight,https://www.muscleandstrength.com/workouts/calisthenics-workout-to-improve-performance,"[{'title': 'Calisthenics Workout 1: Upper/Lower Split', 'content': [[], ['Push Up', '3', '30s', 'None'], ['Superman', '3', '30s', 'None'], ['Zottoman Hand Curl', '3', '30s', 'None'], ['Side Bend', '3', '30s', 'None'], ['Sit Up', '3', '30s', '2min'], [""*Rest for 2 minutes after sit-up's and repeat from the top for 3 rounds""]]}, {'title': 'Calisthenics Workout 1: Upper/Lower Split', 'content': [[], ['Squat Jump', '3', '30s', 'None'], ['Lunge', '3', '30s', 'None'], ['Straight Leg Toe Touch', '3', '30s', 'None'], ['Calf Raise', '3', '30s', 'None'], ['Mountain Climber', '3', '30s', '2min'], ['*Rest for 2 minutes after mountain climbers and repeat from the top for 3 rounds']]}, {'title': 'Calisthenics Workout 2: Full Body Circuit', 'content': [[], ['Push Up', '4-8', '10', 'None'], ['Superman', '4-8', '10', 'None'], ['Sit-Up', '4-8', '10', 'None'], ['Zottman Hand Curl', '4-8', '10', 'None'], ['Mountain Climber', '4-8', '10', 'None'], ['Side Bend', '4-8', '10', 'None'], ['Squat Jump', '4-8', '10', 'None'], ['Lunge', '4-8', '10', 'None'], ['Straight Leg Toe Touch', '4-8', '10', 'None'], ['Calf Raise', '4-8', '10', '2 min'], [""*Rest for 2 minutes after sit-up's and repeat from the top for 4-8 rounds""]]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '2', 'Time Per Workout': '25-35 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Recommended Supps': ""Protein Powder\nBCAA's\nBeta-Alanine"", 'Workout PDF': 'Download Workout'}"
8 Week Muscle Building Bodyweight Workout,https://www.muscleandstrength.com/workouts/bodyweight,https://www.muscleandstrength.com/workouts/8-week-muscle-building-bodyweight-workout,"[{'title': 'Bodyweight Workout Week 1', 'content': [[], ['Push-ups', '3', '15'], ['Inverted Rows', '3', '10'], ['Diamond (hands close) Push-ups', '3', '10'], ['Deep Squats w/ a 3-second pause at the bottom', '3', '15'], ['Single Leg Calf Raises', '3', '15'], ['Stationary Lunges', '3', '10'], ['Lying Leg Raises', '3', '10'], ['Floor Crunches', '3', '10']]}, {'title': 'Bodyweight Workout Week 2', 'content': [[], ['Push-ups', '4', 'AMRAP*'], ['Inverted Rows', '4', 'AMRAP'], ['Diamond (hands close) Push-ups', '4', 'AMRAP'], ['Deep Squats w/ a 3-second pause at the bottom', '4', '20'], ['Single Leg Calf Raises', '4', 'AMRAP'], ['Stationary Lunges', '4', '20'], ['Lying Leg Raises', '4', '15'], ['Floor Crunches', '4', '15'], ['*AMRAP = As Many Reps As Possible']]}, {'title': 'Bodyweight Workout Week 3', 'content': [[], ['Medium-Width Grip Pull-ups', '4', '10'], ['Feet Elevated Push-Ups', '4', '15'], ['Rear Foot Elevated Bulgarian Split Squats', '4', '10'], ['Feet Elevated Diamond Push-ups', '4', '10'], ['Jump Squats', '4', '10'], ['Walking Lunges', '3', 'Lengths'], ['Single Leg Calf Raises', '4', 'AMRAP'], ['Decline Board Crunches', '4', '10'], ['Hanging Leg Raises', '4', '10']]}, {'title': 'Bodyweight Workout Week 4', 'content': [[], ['Medium-Width Grip Pull-ups', '4', '15'], ['Feet Elevated Push-Ups', '4', '20'], ['Rear Foot Elevated Bulgarian Split Squats', '4', '15'], ['Feet Elevated Diamond Push-ups', '4', '15'], ['Jump Squats', '4', '15'], ['Walking Lunges', '3', 'Lengths'], ['Single Leg Calf Raises', '4', 'AMRAP'], ['Decline Board Crunches', '4', '15'], ['Hanging Leg Raises', '4', '15']]}, {'title': 'Bodyweight Workout Week 5', 'content': [[], ['Medium-Width Grip Pull-ups', '4', 'AMRAP'], ['Feet Elevated Push-Ups', '4', 'AMRAP'], ['Rear Foot Elevated Bulgarian Split Squats', '4', '15'], ['Feet Elevated Diamond Push-ups', '4', 'AMRAP'], ['Jump Squats', '4', '15'], ['Walking Lunges', '3', 'Lengths'], ['Single Leg Calf Raises', '4', 'AMRAP'], ['Decline Board Crunches', '4', '15'], ['Hanging Leg Raises', '4', '15']]}, {'title': 'Bodyweight Workout Week 6', 'content': [[], ['1A. Medium- or Wide-Grip Pull-ups', '3', '10'], ['1B. Feet Elevated Push-Ups', '3', '15'], ['2A. Reverse-Grip Chin-ups', '3', '10'], ['2B. Parallel Bar or Bench Dips', '3', '15'], ['3A. Rear Foot Elevated Bulgarian Split Squats', '3', '10'], ['3B. Ball Leg Curls or Glute/Ham Raises', '3', '10'], ['4A. Box Jumps', '3', '10'], ['4B. Single Leg Calf Raises or Squat Calf Raises', '3', '15'], ['5A. Bicycle Crunches', '3', '15'], ['5B. Lying Leg Raises', '3', '15']]}, {'title': 'Bodyweight Workout Week 7', 'content': [[], ['1A. Medium- or Wide-Grip Pull-ups', '3', 'AMRAP'], ['1B. Feet Elevated Push-Ups', '3', 'AMRAP'], ['2A. Reverse-Grip Chin-ups', '3', 'AMRAP'], ['2B. Parallel Bar or Bench Dips', '3', 'AMRAP'], ['3A. Rear Foot Elevated Bulgarian Split Squats', '3', '15-20'], ['3B. Ball Leg Curls or Glute/Ham Raises', '3', '15'], ['4A. Box Jumps', '3', '15'], ['4B. Single Leg Calf Raises or Squat Calf Raises', '3', '20'], ['5A. Bicycle Crunches', '3', '20'], ['5B. Lying Leg Raises', '3', '20']]}, {'title': 'Bodyweight Workout Week 8', 'content': [[], ['1A. Weighted Medium-Grip Pull-ups', '3', 'AMRAP'], ['1B. Feet Elevated Push-Ups with Bands', '3', 'AMRAP'], ['2A. TRX Triceps Extensions', '3', 'AMRAP'], ['2B. TRX Biceps Curls', '3', 'AMRAP'], ['3A. Jump Split Squats', '3', '20'], ['3B. Weighted Rear Foot Elevated Bulgarian Split Squats', '3', '15'], ['4A. Weighted Single Leg Calf Raises', '3', '15'], ['4B. Kettlebell Sumo Squats', '3', '20'], ['5A. TRX Pikes', '3', '15'], ['5B. TRX Leg Tucks', '3', '15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Bodyweight, Exercise Ball, Kettle Bells, Other', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Tactical Tabata: 30 Day High-Intensity Workout,https://www.muscleandstrength.com/workouts/bodyweight,https://www.muscleandstrength.com/workouts/tactical-tabata,"[{'title': 'Workout 1 (Metabolic Monday) Total Body Workout', 'content': [[], ['A1. Jog', '3', '20 Sec/10 Sec'], ['A2. Squat w/ Knee Raise', '-', '-'], ['A3. Plank Shoulder Taps', '-', '-'], ['B1. Shoulder Tap Push Ups', '3', '-'], ['B2. Jump Squats', '-', '-'], ['C1. Hand Release Push Ups', '2', '-'], ['C2. Lunge Jumps', '-', '-'], ['C3. Diamond Push Ups', '-', '-'], ['C4. Pop Squats', '-', '-'], ['D1. Push Up to Burpee', '4', '-'], ['D2. High Low Plank', '-', '-'], ['E1. Low Plank Hold', '2', '-'], ['E2. Squat Hold', '-', '-'], ['E3. Lunge Hold', '-', '-'], ['F1. Frog Jumps', '4', '-'], ['F2. Knee Push Up to High Plank', '-', '-'], ['G1. Push Ups', '2 Min', '5 Reps'], ['G2. Squats', '-', '5 Reps'], ['G3. High Low Planks', '-', '5 Reps'], ['G4. Squat Thrust', '-', '5 Reps']]}, {'title': 'Workout 2 (Turbo Tuesday) Cardio Conditioning', 'content': [[], ['A1. Walk Outs to Shoulder Taps', '3', '20 Sec/10 Sec'], ['A2. Half Jacks', '-', '-'], ['A3. Hop Squats', '-', '-'], ['B1. Plank Jacks to In-Out Abs', '4', '-'], ['B2. Standing Jacks to Vertical Jumps', '-', '-'], ['C1. Mountain Climbers', '2', '-'], ['C2. High Knees', '-', '-'], ['C3. 2 Squats to Jump Squats', '-', '-'], ['C4. 2 Wide Pike Ups to Burpees', '-', '-'], ['D1. Butt Kicks', '4', '-'], ['D2. Plank Butt Kicks', '-', '-'], ['E1. High Low Plank', '2', '-'], ['E2. Hop Squat', '-', '-'], ['E3. Chest Opener Jacks', '-', '-'], ['E4. Plank Arm and Leg Jacks', '-', '-'], ['F1. Ski Abs', '4', '-'], ['F2. Ski Jumps', '-', '-'], ['G1. Plank Jacks', '2 Min', '5 Reps'], ['G2. Jump Squats', '-', '5 Reps'], ['G3. Butt Kicks', '-', '5 Reps'], ['G4. Ski Jump', '-', '5 Reps']]}, {'title': 'Workout 3 (Wild Out Wednesdays) Legs & Abs', 'content': [[], ['A1. Squats', '3', '20 Sec/10 Sec'], ['A2. Jog', '-', '-'], ['A3. Lunges', '-', '-'], ['B1. 2 Squat Pulses to Squat', '2', '-'], ['B2. 2 Squat Pulses to Jump Squats', '-', '-'], ['B3. Squat Pulses', '-', '-'], ['B4. 2 Squat Pulses to Side to Side Hops', '-', '-'], ['C1. Leg Raises', '2', '-'], ['C2. Flutter Kicks', '-', '-'], ['C3. Leg Crosses', '-', '-'], ['C4. Six Inch Holds', '-', '-'], ['D1. Alternating Lunge Pulses', '2', '-'], ['D2. Lunge Jumps', '-', '-'], ['D3. Pop Lunge', '-', '-'], ['D4. Split Squat Jumps', '-', '-'], ['E1. Low Plank', '2', '-'], ['E2. High Plank', '-', '-'], ['E3. Side Plank', '-', '-'], ['E4. Plank Toe Taps', '-', '-'], ['F1. Lunge Squat', '2', '-'], ['F2. Lunge, Lunge, Squat', '-', '-'], ['F3. Lunge, Lunge, Floor Touch, Squat', '-', '-'], ['F4. Jane Fonda', '-', '-'], ['G1. Squats', '2 Min', '5 Reps'], ['G2. Leg Raise', '-', '5 Reps'], ['G3. Lunges', '-', '5 Reps'], ['G4. Calf Raise', '-', '5 Reps']]}, {'title': 'Workout 4: (Turned Up Thursday) Upper Body Workouts', 'content': [[], ['A1. Plank Taps', '3', '20 Sec/10 Sec'], ['A2. Jog', '-', '-'], ['A3. Arm Circles', '-', '-'], ['B1. Push Up w/ Row', '2', '-'], ['B2. Push Ups', '-', '-'], ['B3. Balance Row', '-', '-'], ['B4. Back Extension to Push Up', '-', '-'], ['C1. Half Sits', '2', '-'], ['C2. Leg Crosses', '-', '-'], ['C3. Plank Knee Crunch', '-', '-'], ['C4. Plank Punches', '-', '-'], ['D1. Push Ups to Punches', '2', '-'], ['D2. Diamond Push Ups', '-', '-'], ['D3. Plank Shoulder Taps', '-', '-'], ['D4. Tricep Dips', '-', '-'], ['E1. Oblique Twist', '2', '-'], ['E2. Tuck Ins', '-', '-'], ['E3. Bicycle Crunch', '-', '-'], ['E4. Crunch', '-', '-'], ['F1. Hand Release Push Ups', '2', '-'], ['F2. Plank Shrugs', '-', '-'], ['F3. Military Press', '-', '-'], ['F4. Slow to Explosive Push Up', '-', '-'], ['G1. Push Ups', '2 Mins', '5 Reps'], ['G2. Bicycle Crunch', '-', '5 Reps'], ['G3. High Knees', '-', '5 Reps']]}, {'title': 'Workout 5 (Fired Up Friday) Cardio 2', 'content': [[], ['A1. Jumping Jacks', '3', '20 Sec/10 Sec'], ['A2. Hollow Man', '-', '-'], ['A3. Heel Taps', '-', '-'], ['B1. Burpee', '4', '-'], ['B2. 180* Jump Squats', '-', '-'], ['B3. Suicide Runs', '-', '-'], ['B4. Jack Squats', '-', '-'], ['C1. Fast Feet', '4', '-'], ['C2. Push Ups', '-', '-'], ['C3. Knee Touch Jump Squats', '-', '-'], ['C4. Mountain Climbers', '-', '-'], ['D1. Speed Skater', '2', '-'], ['D2. Pop Squats', '-', '-'], ['D3. In-Out Abs to Burpee', '-', '-'], ['D4. Butt Kicks', '-', '-'], ['E1. Low Plank to Shoulder Tap', '2', '-'], ['E2. Superman', '-', '-'], ['E3. Crunches', '-', '-'], ['E4. Low Crunch', '-', '-'], ['F1. T Push Ups', '4', '-'], ['F2. Downward Dog to Plank Punches', '-', '-'], ['F3. Pop Side Lunges Alternating', '-', '-'], ['F4. Squats', '-', '-'], ['Plank', '2 Min', 'N/A']]}, {'title': 'Workout 6 (Super Saturdays) Strength Workout w/ Chair', 'content': [[], ['A1. Side to Side Squats', '3', '20 Sec/10 Sec'], ['A2. Jogs', '-', '-'], ['A3. Jack Punches', '-', '-'], ['B1. Heel Elevated Split Squats', '2', '-'], ['B2. Heel Elevated Split Squat Jumps', '-', '-'], ['B3. Heel Elevated Split Squat Pulses', '-', '-'], ['B4. Split Squat Pulses', '-', '-'], ['C1. Elevated Push Ups', '2', '-'], ['C2. Incline Push Ups', '-', '-'], ['C3. Push Ups to Chair Taps', '-', '-'], ['C4. Push Up Hold', '-', '-'], ['D1. Chair Step Up', '2', '-'], ['D2. Chair Squat', '-', '-'], ['D3. Chair Squat Jumps', '-', '-'], ['D4. Squat Hold', '-', '-'], ['E1. Feet Elevated Plank', '2', '-'], ['E2. Chair Plank', '-', '-'], ['E3. Chair Knee Ups', '-', '-'], ['E4. Chair Crunch', '-', '-'], ['F1. 4 Chair Jacks, 4 Standing Jacks', '2', '-'], ['F2. 4 Chair High Knees, 4 High Knees', '-', '-'], ['F3. 4 Chair Knee Ups, 4 Tuck Jumps', '-', '-'], ['F4. 4 Chair Punches, 4 Squat Punches', '-', '-'], ['G1. High Knees', '2 Mins', '10 Reps'], ['G2. Push Ups', '-', '10 Reps'], ['G3. Mountain Climbers', '-', '10 Reps'], ['Stiff Leg Deadlift', '4', '25']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '4 weeks', 'Days Per Week': '6', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nBCAAs', 'Workout PDF': 'Download Workout'}"
Countdown To Fitness: A Calisthenics And Bodyweight Workout,https://www.muscleandstrength.com/workouts/bodyweight,https://www.muscleandstrength.com/workouts/countdown-fitness-calisthenics-bodyweight-workout,"[{'title': 'Workout Notes', 'content': [[], ['Calisthenics And Bodyweight Workout'], ['Exercise', 'Sets', 'Reps'], ['Jumping Jacks', '1', '100'], ['Crunches', '1', '90'], ['Bodyweight Squats', '1', '80'], ['Leg Lifts', '1', '70'], ['Jumping Jacks', '1', '60'], ['Crunches', '1', '50'], ['Bodyweight Squats', '1', '40'], ['Knee Extensions', '1', '30'], ['Hands Up Push Ups', '1', '20'], ['Burpees', '1', '10']]}]","{'Main Goal': 'Increase Endurance', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '3', 'Time Per Workout': '15-30 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder (post-workout)', 'Workout PDF': 'Download Workout'}"
