Workout Title,Category,Routine Link,Tables,Summary
8 Week Chest And Back Specialization Workout Routine,https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/8-week-chest-back-workout-routine,"[{'title': 'Workout Notes', 'content': [[], ['Workout #1'], ['Exercise', 'Sets', 'Reps'], ['Deadlifts', '3', '3'], ['Bench Press', '3', '5'], ['Pendlay Rows', '3', '8-10'], ['Incline Dumbbell Bench Press', '3', '8-10'], ['One Arm Dumbbell Rows', '2', '20-25'], ['Dips', '3', 'AMAP'], ['Barbell Shrugs', '3', '12-15']]}, {'title': 'Workout Notes', 'content': [[], ['Workout #2'], ['Exercise', 'Sets', 'Reps'], ['Pull Ups or Inverted Rows (Rest-Pause)', '6', 'AMAP'], ['Machine Chest Press (Rest-Pause)', '6', '8-12'], ['Lat Pull Downs (Rest-Pause)', '6', '8-12'], ['Dumbbell Flye or Pec Dec (Rest-Pause)', '6', '8-12'], ['Dumbbell Shrugs (Rest-Pause)', '6', '10']]}, {'title': 'Workout Notes', 'content': [[], ['Quads, Hammies and Calves'], ['Exercise', 'Sets', 'Reps'], ['Squats', '4', '6-12'], ['Hack Squat or Dumbbell Lunges', '3', '8-12'], ['Leg Extensions or Leg Press', '3', '12-15'], ['Stiff Leg Deadlift', '3', '8-10'], ['Leg Curls', '4', '12-15'], ['Seated Calf Raise', '4', '12-20']]}, {'title': 'Workout Notes', 'content': [[], ['Shoulders, Biceps and Triceps'], ['Exercise', 'Sets', 'Reps'], ['Seated Overhead Press', '4', '8-12'], ['Upright Row or Seated Dumbbell Press', '3', '8-12'], ['Side Lateral Raise Superset with Bent Over Reverse Flye', '3', '10-15'], ['Dumbbell Curl', '3', '8-12'], ['Skullcrushers', '3', '8-12'], ['EZ Bar Preacher Curl', '3', '10-12'], ['Cable Tricep Extensions', '3', '10-12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Pre-Workout (optional)\nCreatine\nFish Oil\nCasein Protein Powder\nWhey Protein Powder\nSleep Enhancer', 'Workout PDF': 'Download Workout'}"
4 Week V-Taper Building Workout Routine,https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/4-week-v-taper-building-workout,"[{'title': 'Week 1: The FDFS (Fiber Damage/Fiber Saturation) Method', 'content': [[], ['Close Grip Seated Cable Row', '2/1/X', '3', '3-4'], ['Underhand Grip Bent Row', '5/1/X', '3', '4-6'], ['Stiff Arm Pull Down', '2/0/1', '2', '31-35'], ['Close Grip Pull Down', '2/0/1', '2', '31-35'], ['Smith Machine BTN Press', '3/0/X', '3', '3-4'], ['Wide Grip Cable Upright Row', '4/1/1/1', '3', '4-6'], ['Dumbbell Lateral Raise', '2/0/1', '2', '26-30'], ['Reverse Fly Machine', '2/0/1', '2', '26-30']]}, {'title': 'Week 2: The FTX2 (Fast Twitch Exponential) Method', 'content': [[], ['Seated Pullover Machine', '2/0/1', '2', '21-25'], ['Underhand Grip Pull Down', '5/1/1', '3', '4-6'], ['Underhand Grip Seated Cable Row', '2/1/1/1', '2', '10-12'], ['One Arm Dumbbell Row', '2/1/1', '3', '10-12'], ['Seated Side Lateral Machine', '2/0/1', '2', '21-25'], ['Seated Dumbbell Press', '5/0/1', '3', '4-6'], ['High Cable Rope Pulls', '2/0/1/1', '2', '10-12'], ['Single Arm Cable Lateral Raise', '2/0/1/1', '3', '10-12']]}, {'title': 'Week 3: The SPEC (Stretch/Peak Contraction/Eccentric/Concentric Emphasis) Method', 'content': [[], ['Dumbbell Pullover', '2/3/1', '2', '7-9'], ['Close Grip T Bar Row', '2/0/1/3', '3', '7-9'], ['Close Grip Seated Hammer Row', '4/0/1', '3', '7-9'], ['Underhand Grip Smith Row', '2/1/4', '2', '7-9'], ['Incline Dumbbell Lateral Raise', '2/4/1', '3', '10-12'], ['Wide Grip Cable Upright Row', '2/1/1/3', '3', '7-9'], ['Machine Shoulder Press', '4/1/1', '2', '7-9'], ['One Arm Cable Rear Delt Fly', '2/1/4', '2', '7-9']]}, {'title': 'Week 4: The PRRS (Power/Rep Range/Shock)-HYBRID Method', 'content': [[], ['Hammer Row', '3/2/1/1', '3', '4-6'], ['A1. Stiff Arm Pull Down', '3/0/1', '3', '10-12'], ['A2. Underhand Grip Pull Down', '3/1/1/1', '3', '7-9'], ['One Arm Dumbbell Row', '2/1/1/1', '3', '13-15, 10-12, 7-9'], ['Barbell Military Press', '5/0/1', '3', '4-6'], ['B1. Bent Over Reverse Fly', '2/1/1', '3', '10-12'], ['B2. Dumbbell Lateral Raise', '2/1/1', '3', '10-12'], ['Wide Grip Upright Row', '3/1/1', '3', '13-15, 10-12, 7-9']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Advanced', 'Program Duration': '4 weeks', 'Days Per Week': '1', 'Time Per Workout': '60-75 minutes', 'Equipment Required': 'Barbell, Cables, Dumbbells, Machines', 'Target Gender': 'Male', 'Recommended Supps': 'ISOFLEX\nAminocuts\nImpact Igniter', 'Workout PDF': 'Download Workout'}"
2 Workouts To Help Grow Your Back in 8 Weeks,https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/2-workouts-to-help-grow-your-back,"[{'title': 'High Machine Seated Row', 'content': [[], ['Pullup', '4', '8'], ['Dumbbell Pullover', '3', '10'], ['T-Bar Row', '3', '10'], ['Single Arm Cable Pulldown', '3', '12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '8 weeks', 'Days Per Week': '1', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Mass Performance Program - Day 4: Upper Body,https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/mpp-day-4,"[{'title': ""Justin's Workout"", 'content': [[], ['Shoulder Activation: Barbell Landmine', '--', '4x10 (each side)'], ['1. Standing Barbell Military Press', '2x15', '2x10,8,6'], ['2. Barbell Incline Raise', '--', '3x10-12'], ['3. Barbell Row', '--', '3x10-12'], ['4. Lat Pulldown/Pullover Combo', '--', '5x10-15'], ['5. EZ Bar Reverse Curl to Overhead Triceps Extension', '--', '3xFailure']]}, {'title': ""David's Workout"", 'content': [[], ['Shoulder Activation: Barbell Landmine', '--', '4x10 (each side)'], ['1. Arnold Press', '--', '5x10-15'], ['2. Lateral Raise/Front Raise Combo', '--', '5x10-12'], ['3. Chest Supported DB Row with Alternating Grip', '--', '3x7-10 (3x14-20 total)'], ['4. Lat Pulldown/Pullover Combo', '--', '5x10-15'], ['5. Dumbbell Hammer Curl to French Press', '--', '3x10-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '0 weeks', 'Days Per Week': '4', 'Equipment Required': 'Barbell, Dumbbells, EZ Bar, Machines', 'Target Gender': 'Male & Female'}"
The Cobra Workout: Heavy High Volume Back Program,https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/cobra-back-workout,"[{'title': '#1 The Super Thick', 'content': [[], ['1. Deadlift', '5', '3'], ['2a. Rack Pulls', '5', '3'], ['2b. Weighted V-bar Pullups', '5', '5'], ['3. T-bar Row', '5', '10, 8, 5, 5, 3'], ['4a. Iso-Dumbbell Rows', '3', '6 each (pause at top)'], ['4b. Standing Dumbbell Row', '3', '5 each side'], [""4c. Farmer's Walk"", '3', '100 ft'], ['5. Reverse Hyperextension', '3', '10 (no weight, pause at top)']]}, {'title': '#2 Airplane Wing ""Lat Attack""', 'content': [[], ['1a. Wide Grip Lat Pulldowns', '10', '10*'], ['1b. Seated Row', '10', '20*'], ['2a. Barbell Rows', '4', '5'], ['2b. Straight Arm Pulldowns', '4', '8'], ['3a. Wide Grip Pullups', '10', '10**'], ['3b. Barbell Shrugs', '10', '10'], ['4. Barbell Rollouts', '1', '50']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '8 weeks', 'Days Per Week': '2', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Back Blast! 8 Week Program to Build Your Back,https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/8-week-back-blast-workout,"[{'title': 'Stimulation or Annihilation?', 'content': [[], ['Assited Pull Up', '3', '10'], ['One Arm Machine Row', '4', '8-10 Each'], ['T-Bar Row', '4', '10-12'], ['Pullover', '3', '10-12'], ['Low Back Extension (drop sets)', '3', '12/12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '8 weeks', 'Days Per Week': '1', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Dumbbells, Machines, Other', 'Target Gender': 'Male & Female', 'Recommended Supps': 'IsoHD\nOne More Rep\nBest BCAAs', 'Workout PDF': 'Download Workout'}"
RP-21 Muscle Building Workout Program (Back Focus),https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/build-wider-back,"[{'title': '2) Pullovers', 'content': [[], ['1a. Dips', '7', '3'], ['1b. Chin-ups', '7', '3'], ['2a. Dips', '6', '5'], ['2b. Chin-ups', '6', '5'], ['3a. EZ Curl Bar Pullover', '4', '8'], ['3b. Weighted Pushup', '4', '8']]}, {'title': '2) Pullovers', 'content': [[], ['1a. Sumo Deadlift', '7', '3'], ['1b. Glute Ham Raise', '7', '3'], ['2a. Hip Thrusts', '6', '5'], ['2b. Barbell Reverse Lunge', '6', '5 each leg'], ['3a. Standing Calf Raise', '4', '8'], ['3b. Seated Calf Raise', '4', '8']]}, {'title': '2) Pullovers', 'content': [[], ['1a. Pause Pullups', '7', '3'], ['1b. Overhead Press', '7', '3'], ['2a. Dumbbell Pullover', '6', '5'], ['2b. 1 Arm Row', '6', '5 each arm'], ['3a. Lateral Raises', '4', '8'], ['3b. Wide Grip Upright Row', '4', '8']]}, {'title': '2) Pullovers', 'content': [[], ['1a. Heels Elevated Barbell Squat', '7', '3'], ['1b. Barbell Hack Squat', '7', '3'], ['2a. Sissy Squat', '6', '5'], ['2b. Walking Dumbbell Lunges', '6', '5 each leg'], ['3a. Seated Calf Raises', '4', '8'], ['3b. Standing Calf Raises', '4', '8']]}, {'title': '2) Pullovers', 'content': [[], ['1a. Incline Bench Press', '7', '3'], ['1b. Rack Pull', '7', '3'], ['2a. Flat Dumbbell Bench Press', '6', '5'], ['2b. Neutral Grip Pullup', '6', '5'], ['3a. Decline Tight Dumbbell Press', '4', '8'], ['3b. Barbell Bent-Over Rows', '4', '8']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '5', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
The Back Day Burnout: A Big Thick Back Workout,https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/back-day-burnout,"[{'title': 'Back Day Burnout Set', 'content': [[], ['1. Deadlifts', '8', '5, 5, 5, 3, 3, 3, 2, 2'], ['2. Lat Pulldowns', '3', '10'], ['3. Close Grip Lat Pulldown from Floor', '3', '12'], ['4. Meadow Rows', '3', '10'], ['5. Supported Rows on Incline Bench', '3', '10'], ['6a. Pullups', '-', '-'], ['6b. Chinups', '-', '-'], ['6c. Inverted Row', '-', '100 total reps']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '4 weeks', 'Days Per Week': '1', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
The Perfect Back Workout to Increase Your Wingspan,https://www.muscleandstrength.com/workouts/back,https://www.muscleandstrength.com/workouts/increase-your-wingspan-workout,"[{'title': ""7. Unilateral Barbell Row (Meadow's Row)"", 'content': [[], ['1. Narrow Unilateral Lat Pull-down', '3', '15, 12, 10*'], ['2. Wide Unilateral Lat Pull-down (Pronated Grip)', '3', '15, 12, 10*'], ['3. Wide Pronated Grip Pull-ups with Chains', '3', '15, 12, 10*'], ['4. Deadlifts with Chains', '3', '15, 12, 10*'], ['5. Rope T-bar Rows with Chains', '3', '15, 12, 10*'], ['6. Wide Unilateral Dumbbell Row', '3', '15, 12, 10*'], [""7. Unilateral Barbell Row (Meadow's Row)"", '3', '15, 12, 10*']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Advanced', 'Program Duration': '8 weeks', 'Days Per Week': '1', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
