Workout Title,Category,Routine Link,Tables,Summary
8 Pack Abs Workout: How To Get The Ultimate 8 Pack,https://www.muscleandstrength.com/workouts/abs,https://www.muscleandstrength.com/workouts/3-ab-workouts-build-8-pack,"[{'title': 'Ab Workout: Routine #1', 'content': [[], ['Crunches on a Flex Ball', '3', '15'], ['Hanging Leg Raises', '3', '15'], ['Bicycles', '3', '20']]}, {'title': 'Ab Workout: Routine #2', 'content': [[], ['Side Crunches on Roman Chair', '3', '15'], ['Low Pulley Crunches', '3', '15'], ['Windshield Wipers', '3', '20'], ['3 Way Plank', '3', '20-30 Sec']]}, {'title': 'Ab Workout: Routine #3', 'content': [[], ['Dragon Flag', '3', 'AMRAP*'], ['1a. Straight Leg Raises', '3', '10'], ['1b. Bent Leg Raises', '3', '10'], ['2a. Russian Twists', '3', '10 each side'], ['2b. Floor Crunch', '3', '15'], ['* AMRAP: As Many Reps As Possible']]}]","{'Main Goal': 'General Fitness', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '15-30 minutes', 'Equipment Required': 'Bodyweight, Other', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein Isolate\nMultivitamin\nCLA', 'Workout PDF': 'Download Workout'}"
Abs Workout For Women: 8 Weeks To A Flatter Stomach,https://www.muscleandstrength.com/workouts/abs,https://www.muscleandstrength.com/workouts/abs-workout-women-8-weeks-flatter-stomach,"[{'title': 'Weeks 1-4', 'content': [[], ['Cable Crunch', '2-3', '15-25'], ['Plank', '2-3', '30-60 Seconds'], ['Hanging Knee Raise', '2-3', '10-20'], ['Dumbbell Side Bends', '2-3', '10-20']]}, {'title': 'Weeks 5-8', 'content': [[], ['Twisting Bench Crunch (Reps are per side)', '3-4', '20-30'], ['Plank With Feet On Bench', '3-4', '60 Seconds'], ['Weighted Sit Up (with dumbbell on chest)', '3-4', '20-30'], ['Wood Chop (Reps are per side)', '3-4', '10-20']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '2', 'Time Per Workout': '15-30 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Female', 'Workout PDF': 'Download Workout'}"
12 Week Ab Workout for Ab Definition & Core Strength,https://www.muscleandstrength.com/workouts/abs,https://www.muscleandstrength.com/workouts/12-week-ab-workout-for-ab-definition-and-core-strength,"[{'title': 'Ab Workout A: For Defined Abs', 'content': [[], ['Ab Machine Crunch', '4', '12-15'], ['Ab Machine Oblique Crunch', '2', '12-15 Each'], ['Exercise Ball Ab Crunch', '4', '20'], ['Hanging Leg Raise', '3', '8-12'], ['Lying Knee Tucks', '3', '8-12']]}, {'title': 'Ab Workout B: For Stronger Core', 'content': [[], ['Barbell Rollout', '4', '8-12'], ['Pallof Press', '3', '15 Each'], ['Farmers Carry', '3', 'Distance'], ['(Weighted) Hyperextension', '3', '12-15'], ['(Weighted) Glute Bridge', '3', '12-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '10-20 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Exercise Ball', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nFish Oil\nGreen Tea', 'Workout PDF': 'Download Workout'}"
4 Week Beginner Core Strength Trainer,https://www.muscleandstrength.com/workouts/abs,https://www.muscleandstrength.com/workouts/4-week-beginner-core-strength,"[{'title': 'Week 1', 'content': [[], ['Day 1'], ['1. Walk Outs (from knees)', '10'], ['2. DB Crunch (light DB behind head)', '20'], ['3. Plank', '1 minute'], ['4. Band Hold (on back)', '10 x 3sec holds'], ['Day 2'], ['1. DB Pullovers', '3x8'], ['2. Plate Arches', '3x5 (each side)'], ['3. Side Bridge', '20-30 sec (each side)'], ['4. Side Bends w/ DB', '3x10 (each side)'], ['Day 3'], ['1. Dead Bugs', '3x10sec holds'], ['2. Supermans', '3x10'], ['3a. Hyperextensions', '2x10'], ['3b. Glute Bridge', '2x30 sec']]}, {'title': 'Week 2', 'content': [[], ['Day 1'], ['1. Walk Outs (from knees)', '10'], ['2. DB Crunch (light DB behind head)', '2x20'], ['3. Plank', '1 min'], ['4. Band Hold (kneeling)', '10x3 sec holds'], ['Day 2'], ['1. DB Pullovers', '3x8'], ['2. Plate Arches', '3x5 (each side)'], ['3a. Side Bridge', '30 sec (each side)'], ['3b. Side Bends w/ DB', '10 (each side)'], ['Day 3'], ['1. Dead Bugs', '3x10 sec holds'], ['2. Supermans', '3x10 w/ plates'], ['3a. Hyperextension', '3x10 w/ plates'], ['3b. Glute Bridge', '3x10 sec w/DB']]}, {'title': 'Week 3', 'content': [[], ['Day 1'], ['1. Walk Outs (from knees)', '20'], ['2. DB Crunch (heavy DB, arms extended)', '2x10'], ['3a. Plank', '1 min'], ['3b. Band Hold (kneeling)', 'max time'], ['Day 2'], ['1. DB Pullovers', '3x8'], ['2. Plate Arches', '3x5 (each side)'], ['3a. Side Bridge', '30 sec (each side)'], ['3b. Side Bends w/ DB', '10 (each side)'], ['Day 3'], ['1a. Dead Bugs', '3x10 sec hold'], ['1b. Supermans', '3x10 sec hold'], ['2a. Reverse Hyperextension', '3x10 reps (on bench)'], ['2b. Glute Bridge', '3x30 sec w/ DB']]}, {'title': 'Week 4', 'content': [[], ['Day 1'], ['1a. Walk Outs', '3 x 5 standing (or 10 from knees)'], ['1b. DB Crunch (heavy DB, arms extended)', '3x10'], ['1c. Plank', '3x1 min'], ['1d. Band Hold (kneeling)', '3xmax time'], ['Day 2'], ['1a. DB Pullovers + Crunch (on swiss ball)', '5x10'], ['1b. Plate Arches', '5x8 (each side)'], ['1c. Side Bridge', '5x30 sec each side, first 10 sec w/1 leg up'], ['1d. Side Bends w/ DB', '5x10 (each side)'], ['Day 3'], ['1a. Dead Bugs', '3x 10 sec hold w/ DB'], ['1b. Supermans', '3x10 w/ plates'], ['1c. Reverse Hyperextensions', '3x10 (on bench), 3 sec hold each rep'], ['1d. Glute Bridge', '3x10 sec w/ heavy DB or barbell']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Beginner', 'Program Duration': '4 weeks', 'Days Per Week': '6', 'Time Per Workout': '15-30 minutes', 'Equipment Required': 'Bands, Bodyweight, Dumbbells', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Home-Based Ab Workout,https://www.muscleandstrength.com/workouts/abs,https://www.muscleandstrength.com/workouts/27-home-based-ab-workout.html,"[{'title': 'Day 1', 'content': [[], ['Floor Crunch', '3', '20'], ['Horizontal Leg Raise (floor)', '3', '15-20'], ['Hover (AKA plank)', '3', 'MAX time']]}, {'title': 'Day 2', 'content': [[], ['Floor Reach', '3', '15'], ['Abdominal Air Bike (see instructions)', '3', '15-20'], ['Side Hover', '3', '45 seconds']]}, {'title': 'Day 3', 'content': [[], ['Floor Crunch', '3', '20'], ['Floor Reach', '3', '15'], ['Advanced Hover (see instructions)', '1', '3 mins']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '3', 'Time Per Workout': '20 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Kettlebell Ab Workout: 12 Week Progression for Increased Core Strength,https://www.muscleandstrength.com/workouts/abs,https://www.muscleandstrength.com/workouts/12-week-kettlebell-ab-workout,"[{'title': 'High Knees with Kettlebell', 'content': [[], ['Kettlebell Swing', '3', '12'], ['Kettlebell Ab Pullover and Crunch', '3', '12'], ['Kettlebell Side Bend', '3', '12 each side'], ['High Knees with Kettlebell', '3', '30s']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '3', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Kettle Bells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nCreatine Monohydrate\nL-Carnitine\nFish Oil\nPre-Workout (Optional)', 'Workout PDF': 'Download Workout'}"
Build Core Strength! Coach Myers' Top 5 Exercises For Core Stability,https://www.muscleandstrength.com/workouts/abs,https://www.muscleandstrength.com/workouts/myers-top-core-exercises,"[{'title': '5. Wheel Barrow Walks', 'content': [[], ['Palov Press - Press Straight Out', '1', '10 per side'], ['Walkouts From Knees', '3', '10'], ['Stability Alternates From Knees', '3', '10 per side'], ['Saws - Forward Only', '2', '10'], ['Palov Press - Hip Extension', '1', '10 per side']]}, {'title': '5. Wheel Barrow Walks', 'content': [[], ['Pavlov Press - Press Straight Out', '1', '10'], ['Walkouts', '2', '10*'], ['Saws', '1', '10**'], ['Wheel Barrow Walks (on Swiss Ball)', '3', '10'], ['Stability Alternates (from feet)', '1', '10 per side'], ['Palov Press - Front Raise', '1', '10 per side'], ['Palov Press - Hip Extension', '1', '10 per side']]}, {'title': '5. Wheel Barrow Walks', 'content': [[], ['Stability Alternates', '3*', '10 per side'], ['Walkouts', '3', '10**'], ['Saws', '3', '10***'], ['Wheel Barrow Walks (feet on sliders)', '3', '30 each direction'], ['Palov Press - Press Straight Out (on swiss ball)', '3', '10 per side'], ['Palov Press - Front Raise', '3', '10 per side'], ['Palov Press - Hip Extension', '3', '10 per side']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '3 weeks', 'Days Per Week': '3', 'Time Per Workout': '15-30 minutes', 'Equipment Required': 'Bands, Bodyweight, Exercise Ball', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
