Workout Title,Category,Routine Link,Tables,Summary
Growin' Guns: Bigger and Better Arms in 30 Days,https://www.muscleandstrength.com/workouts/triceps,https://www.muscleandstrength.com/workouts/bigger-better-arms-workout-30-days,"[{'title': ""The Growin' Guns Workout"", 'content': [[], ['Barbell Curl', '4', '8'], ['Close Grip Bench Press', '4', '8'], ['Cross-Body Hammer Curl', '3', '10'], ['One Arm Overhead Extension', '3', '10'], ['A1. Incline Dumbbell Curl', '3', '12'], ['A2. Diamond Pushup', '3', '12'], ['B1. Angled Handled Cable Curl', '3', '20'], ['B2. Rope Pressdown', '3', '20']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Advanced', 'Program Duration': '4 weeks', 'Days Per Week': '1', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Guns of Glory: An Arm Training Workout Program,https://www.muscleandstrength.com/workouts/triceps,https://www.muscleandstrength.com/workouts/guns-of-glory-workout,"[{'title': 'Posing', 'content': [[], ['1. Bicep Curls', '3', '12-15'], ['2. Reverse Curls', '3', '12-15'], ['3. Hammer Concentration Curls', '3', '12-15'], ['4. Unilateral Reverse Tricep Extension', '3', '12-15'], ['5. Dumbbell Kickbacks (alternating grips)', '3', '12-15'], ['6. Overhead Alternating Dumbbell Extensions', '3', '12-15'], ['7. Overhead Cambered Bar Extensions', '3', '12-15'], ['8. Dips w/ Chains', '3', '12-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '8 weeks', 'Days Per Week': '1', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Bodyweight, Dumbbells, EZ Bar', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Get Serious Arm Size With This Biceps & Triceps Workout,https://www.muscleandstrength.com/workouts/triceps,https://www.muscleandstrength.com/workouts/serious-biceps-triceps-muscle-routine,"[{'title': 'Triset 2: Kneeling Reverse Grip Pressdown/Kneeling Close Grip Pressdown/Kneeling Overhead Cable Extension', 'content': [[], ['Warm-Up: Cambered Bar Curl/Lying Tricep Extension', '1', '20'], ['Cambered Bar Curl/Lying Tricep Extension', '3', '10-12'], ['Incline Curl/Dumbbell Kickback', '3', '10-12'], ['Lying Wide Grip Cable Curl/Lying Close Grip Cable Curl/Lying Reverse Grip Cable Curl', '3', '10-12'], ['Kneeling Reverse Grip Pressdown/Kneeling Close Grip Pressdown/Kneeling Overhead Cable Extension', '3', '10-12'], ['Note: 1 minute rest between all supersets.']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '1', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Barbell, Cables, Dumbbells, EZ Bar', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Mass Performance Program - Day 4: Upper Body,https://www.muscleandstrength.com/workouts/triceps,https://www.muscleandstrength.com/workouts/mpp-day-4,"[{'title': ""Justin's Workout"", 'content': [[], ['Shoulder Activation: Barbell Landmine', '--', '4x10 (each side)'], ['1. Standing Barbell Military Press', '2x15', '2x10,8,6'], ['2. Barbell Incline Raise', '--', '3x10-12'], ['3. Barbell Row', '--', '3x10-12'], ['4. Lat Pulldown/Pullover Combo', '--', '5x10-15'], ['5. EZ Bar Reverse Curl to Overhead Triceps Extension', '--', '3xFailure']]}, {'title': ""David's Workout"", 'content': [[], ['Shoulder Activation: Barbell Landmine', '--', '4x10 (each side)'], ['1. Arnold Press', '--', '5x10-15'], ['2. Lateral Raise/Front Raise Combo', '--', '5x10-12'], ['3. Chest Supported DB Row with Alternating Grip', '--', '3x7-10 (3x14-20 total)'], ['4. Lat Pulldown/Pullover Combo', '--', '5x10-15'], ['5. Dumbbell Hammer Curl to French Press', '--', '3x10-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '0 weeks', 'Days Per Week': '4', 'Equipment Required': 'Barbell, Dumbbells, EZ Bar, Machines', 'Target Gender': 'Male & Female'}"
4 Week Arm-Ageddon Blast Arm Workout,https://www.muscleandstrength.com/workouts/triceps,https://www.muscleandstrength.com/workouts/4-week-arm-ageddon-blast-arm-workout,"[{'title': 'Week 1: The PRRS (Power/Rep Range/Shock)-HYBRID Method', 'content': [[], ['Standing Barbell Curl', '5/1/1', '2', '4-6'], ['Overhead Lat Pull Down Curl', '2/1/1/1', '3', '13-15, 10-12, 7-9'], ['A1. Barbell Preacher Curl', '3/0/1/1', '2', '7-9'], ['A2. Reverse Barbell Curl', '2/0/1', '2', '7-9'], ['Skullcrusher', '5/0/1', '2', '4-6'], ['Rope Pushdown', '2/0/1/1', '3', '13-15, 10-12, 7-9'], ['B1. Seated One Arm Overhead Dumbbell Extension', '3/1/1', '2', '10-12'], ['B2. Dumbbell Kickback', '2/0/1/1', '2', '10-12']]}, {'title': 'Week 2: The FTX2 (Fast Twitch Exponential) Method', 'content': [[], ['Cable Rope Hammer Curl', '2/0/1', '2', '21-25'], ['90 Degree Side Barbell Preacher Curl', '4/1/1', '3', '4-6'], ['Standing Alternating Dumbbell Curl', '3/1/1', '2', '10-12'], ['Lying Low Cable Curl', '2/1/1', '2', '10-12'], ['Reverse Grip Pushdown', '2/0/1', '2', '21-25'], ['Incline 2 Arm Overhead Dumbbell Extension', '3/2/1', '3', '4-6'], ['Incline Cable Push-Outs', '2/1/1/1', '2', '10-12']]}, {'title': 'Week 3: The SPEC (Stretch/Peak Contraction/Eccentric/Concentric Emphasis) Method', 'content': [[], ['Incline Elbows Out Dumbbell Curl', '2/4/1/1', '3', '6-8'], ['Straight Bar Low Cable Curl', '2/0/1/4', '2', '6-8'], ['EZ Bar Curl', '4/1/1', '2', '6-8'], ['Front Double Biceps Pose Upper Cable Curl', '2/1/4', '2', '6-8'], ['Bent Overhead Cable V-Bar Extension', '2/4/1/1', '3', '6-8'], ['2 Arm Dumbbell Kickback', '2/0/1/4', '2', '6-8'], ['Decline 2 Arm Dumbbell Extension', '4/1/1', '2', '6-8'], ['Straight Bar Pushdown', '2/1/4', '2', '6-8']]}, {'title': 'Week 4: The FDFS (Fiber Damage/Fiber Saturation) Method', 'content': [[], ['Seated Concentration Curl', '3/0/X', '2', '3-4'], ['Machine Preacher Curl', '6/0/1', '3', '5-7'], ['Seated 1/2 Rep Barbell Curl', '2/0/1', '2', '26-30'], ['Reverse Grip Low Cable Curl', '2/0/1', '2', '26-30 Each'], ['Weighted Triceps Dip', '3/0/X', '3', '3-4'], ['Smith Elbows Out Close Grip Bench Press', '6/0/1', '3', '5-7'], ['V Bar Pushdown', '2/0/1', '2', '26-30'], ['Seated Elbows Supported Tricep Extension Machine', '2/0/1', '2', '26-30']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Advanced', 'Program Duration': '4 weeks', 'Days Per Week': '1', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other', 'Target Gender': 'Male & Female', 'Recommended Supps': 'ISOFLEX\nImpact Igniter\nQuick Mass\nAminoCore\nCasein-FX', 'Workout PDF': 'Download Workout'}"
12 Week Triple Header Triceps Workout Program,https://www.muscleandstrength.com/workouts/triceps,https://www.muscleandstrength.com/workouts/triple-header-tricep-workout,"[{'title': 'Tricep Pump', 'content': [[], ['Single Arm Cable Kickback', '3', '15, 12, 10'], ['Close Grip Bench Press', '5', '5'], ['Rope Pressdown', '3', '20']]}, {'title': 'Tricep Pump', 'content': [[], ['Close Grip Push Up', '3', '15'], ['Weighted Triceps Dip', '4', '8'], ['Overhead Cable Extension', '3', 'Failure']]}, {'title': 'Tricep Pump', 'content': [[], ['Kneeling Overhead Tricep Extension Over Flat Bench', '3', '12'], ['Lying Tricep Extension', '4', '8, 8, 8, 6'], ['Banded Tricep Extension', '-', '100 Reps']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '1', 'Time Per Workout': '15-30 minutes', 'Equipment Required': 'Bands, Barbell, Bodyweight, Cables, Other', 'Target Gender': 'Male', 'Recommended Supps': 'Protein Powder\nPre-Workout\nBCAAs\nCreatine', 'Workout PDF': 'Download Workout'}"
"The ""Guns-A-Blazing"" Arm Training Workout Routine",https://www.muscleandstrength.com/workouts/triceps,https://www.muscleandstrength.com/workouts/guns-a-blazing-workout,"[{'title': 'Day 1: The Heavy Day', 'content': [[], ['1. Chinups', '2', '10'], ['2. Barbell Curls', '9', '10, 8, 6, 4, 3, 2*, 1*, 1*, 1*'], ['3a. Dumbbell Curl', '3**', '3'], ['3b. Hammer Curls', '3**', '3'], ['3c. Preacher Curls', '3**', '6 w/ quarter rep'], ['4. Diamond Pushups', '2', '15'], ['5. Overhead Dumbbell Extension', '6', '10, 10, 8, 6, 4, 2'], ['6a. Dumbbell Skullcrushers', '3***', '5'], ['6b. Cable Pressdowns', '3***', '10'], ['6c. Weighted Dips', '3***', '10']]}, {'title': 'Day 2: The Detail Day', 'content': [[], ['1a. Pushup', '2', '15'], ['1b. Pullup', '2', '10'], ['2a. Serrano Misdirection Curls', '5', '6'], ['2b. Tricep Cable Pressdowns', '5', '21*'], ['3a. Dumbbell Iso-Curls', '5', '10'], ['3b. Tricep Iso-Kickbacks', '5', '10**'], ['3c. Bent Over Concentration Curls', '5', '10'], ['3d. Single Arm Overhead Tricep Extension', '5', '10'], ['4a. Chinups', '10', '20***'], ['4b. Bodyweight Skullcrushers', '10', '20***'], ['4c. Underhand Slant Rows', '10', '20***'], ['4d. Bench Dips', '10', '20***']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '8 weeks', 'Days Per Week': '2', 'Time Per Workout': '75-90 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, EZ Bar', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
ARMergency: A Killer Arm Day Workout Program,https://www.muscleandstrength.com/workouts/triceps,https://www.muscleandstrength.com/workouts/armergency-workout,"[{'title': '5b. Lying Cable Curls', 'content': [[], ['1. Single Arm Pressdown', '2', '15'], ['2. High Standing Cable Curl', '2', '15'], ['3a. Lying Tricep Extension', '4', '8-10'], ['3b. Barbell Curl', '4', '8-10'], ['4a. Reverse Grip Incline Dumbbell Press', '3', '10-12'], ['4b. Spider Curls', '3', '10-12'], ['5a. Kneeling Rope Pressdown', '3', '20'], ['5b. Lying Cable Curl', '3', '20']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Advanced', 'Program Duration': '6 weeks', 'Days Per Week': '1', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Cables, Dumbbells', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
