Workout Title,Category,Routine Link,Tables,Summary
"Jamal Browner’s 2-Day Deadlifting Program: Deadlift 1,000+ Lbs",https://www.muscleandstrength.com/workouts/sports,https://www.muscleandstrength.com/workouts/jamal-browner-deadlift-program,"[{'title': 'Watch Jamal Demonstrate a Paused Deadlift', 'content': [['Day 1 (Monday)'], [], ['Paused Deadlift', '1', '2', '80%', 'Technique-focused'], ['Paused Deadlift', '3', '5', '65%', ''], ['Leg Extensions', '3', '8-10', '3 RIR', ''], ['Hamstring Curls', '3', '8-10', '3 RIR', ''], ['Core Work', '4', 'see notes', '', 'Any of your choice']]}, {'title': 'Watch Jamal Demonstrate a Paused Deadlift', 'content': [['Day 2 (Friday)'], [], ['Deadlift', '1', '1', '87.5%', ''], ['Deadlift', '2', '2', '80%', ''], ['Deadlift', '2', '3', '72.5%', ''], ['Romanian Deadlift', '3', '6-8', '3 RIR', ''], ['Core Work', '3', 'see notes', '', 'Any of your choice']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '9 weeks', 'Days Per Week': '2', 'Equipment Required': 'Barbell, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'C4 Ultimate Strength\nCOR-Performance Creatine\nC4 Sport Strength', 'Workout PDF': 'Download Workout'}"
Basketball Workouts: In-Season Workout Routine for Players,https://www.muscleandstrength.com/workouts/sports,https://www.muscleandstrength.com/workouts/in-season-workout-routine-for-basketball-players,"[{'title': 'Day 1: In-Season Full Body Basketball Workout', 'content': [[], ['Dumbbell Split Squat', '2', '15'], ['(Assisted) Nordic Hamstring Curls', '2', '12-15'], ['Lateral Lunges', '2', '12-15'], ['Pull Ups', '2', 'AMRAP'], ['Push Ups', '2', 'AMRAP'], ['Banded Rear Delt Fly', '2', '15-20'], ['Banded Lateral Raise', '2', '15-20'], ['Plate Pinch', '2', '30 Secs'], ['Dead Bug', '2', '12-20 Each'], ['Plank', '2', 'Timed Failure']]}, {'title': 'Day 2: In-Season Full Body Basketball Workout', 'content': [[], ['Goblet Squat', '2', '15'], ['Exercise Ball Leg Curl', '2', '12-15'], ['One Leg Dumbbell Calf Raise', '2', '15-20'], ['Hip Adduction', '2', '15-20'], ['Cable Row', '2', '15'], ['Standing Dumbbell Press', '2', '15'], ['Dips', '2', 'AMRAP'], ['Plank', '2', 'Timed Failure'], ['Dead Bug', '2', '12-20 Each'], ['Med Ball Woodchoppers', '2', '15-20 Each']]}]","{'Main Goal': 'Sports Performance', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '20 weeks', 'Days Per Week': '2', 'Time Per Workout': '30 minutes', 'Equipment Required': 'Bands, Bodyweight, Cables, Dumbbells, Exercise Ball, Machines, Medicine Ball', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Push-Pull Superset Workout Program Ft. NFL Tight End Vernon Davis,https://www.muscleandstrength.com/workouts/sports,https://www.muscleandstrength.com/workouts/vernon-davis-push-pull-superset-workout,"[{'title': 'Watch the video (3:12)', 'content': [[], ['1a. Barbell Bench Press', '4', '15, 12, 8, 6'], ['1b. Hammer Strength Row', '4', '15, 12, 8, 6'], ['2a. Barbell Military Press', '4', '15, 12, 8, 6'], ['2b. Pull Ups*', '4', '10-15'], ['3a. Dumbbell Curls', '4', '15, 12, 8, 6'], ['3b. Dumbbell Shrugs', '4', '15, 12, 8, 6']]}, {'title': 'Watch the video (3:12)', 'content': [[], ['1a. Squat', '4', '15, 12, 8, 6'], ['1b. Romanian Deadlift', '4', '15, 12, 8, 6'], ['2a. Leg Press', '4', '15, 12, 8, 6'], ['2b. Leg Curl', '4', '15, 12, 8, 6'], ['3a. Dumbbell Lunge', '4', '15, 12, 8, 6'], ['3b. Calf Raise', '4', '10-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Fight to be Fit Training Program,https://www.muscleandstrength.com/workouts/sports,https://www.muscleandstrength.com/workouts/fight-to-be-fit-workout,"[{'title': 'Warm Up', 'content': [[], ['Boxing', '5', '3 Min'], ['Jump Rope', '5', '3 Min']]}, {'title': 'Workout', 'content': [[], ['Bench Press', '8', '10'], ['Overhead Press', '8', '10'], ['Tricep Kickbacks', '8', '10'], ['Squats', '8', '10'], ['Bent-Over Dumbbell Row', '8', '10']]}]","{'Main Goal': 'Sports Performance', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '3', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Barbell, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Vegan Protein\nEnergizing Pre-Workout\nMicronized L-Glutamine', 'Workout PDF': 'Download Workout'}"
Marc Megna's Complete Off Season Football Training Workout And Meal Plan,https://www.muscleandstrength.com/workouts/sports,https://www.muscleandstrength.com/workouts/marc-megna-football-training-program-meal-plan,"[{'title': 'Phase I Workouts (Weeks 1-3)', 'content': [[], ['Lower Body and Back'], ['Exercise', 'Sets', 'Reps'], ['A1. Hang Clean *', '3', '5'], ['A2. Plank', '2', '30 sec'], ['B1. Dumbbell Goblet Squat *', '3', '10'], ['B2. Assisted Chin-Ups', '3', '10'], ['B3. Swiss Ball Roll-Outs', '2', '8'], ['C1. Dumbbell Single Leg Deadlift * - per leg', '3', '10'], ['C2. Dumbbell Bent-Over Row', '3', '10'], ['C3. Tall Kneeling Belly Press - per side', '2', '8'], ['D1. Dumbbell Single Leg Squat to Box - per leg', '3', '10'], ['D2. Half Kneeling Cable Face Pull', '3', '10']]}, {'title': 'Phase I Workouts (Weeks 1-3)', 'content': [[], ['Chest, Shoulders and Arms'], ['Exercise', 'Sets', 'Reps'], ['A1. Bench Press *', '3', '10'], ['A2. Side Plank - per side', '2', '20'], ['B1. Incline Dumbbell Chest Press *', '3', '10'], ['B2. Tall Kneeling Cable Lift - * per side', '2', '8'], ['C1. Tall Kneeling Dumbbell Alternating Overhead Press *', '3', '10'], ['C2. Farmers Walks', '2', '20 yards'], ['D1. Barbell Biceps Curl', '3', '10'], ['D2. Rope Cable Triceps Press', '3', '10']]}, {'title': 'Phase I Workouts (Weeks 1-3)', 'content': [[], ['Lower Body and Back'], ['Exercise', 'Sets', 'Reps'], ['A1. Dumbbell Snatch * - per arm', '3', '5'], ['A2. Plank', '2', '30 sec'], ['B1. Deadlift *', '3', '10'], ['B2. Suspension Supine Row', '3', '10'], ['B3. Extended Plank Lateral Arm Raise - per arm', '2', '8'], ['C1. Dumbbell Split Squat * - per leg', '3', '10'], ['C2. Half Kneeling Cable Row - per arm', '3', '10'], ['C3. Bird Dog - per side', '2', '8'], ['D1. Stability Ball Leg Curl', '3', '10'], ['D2. Barbell Shrug', '3', '10']]}, {'title': 'Phase I Workouts (Weeks 1-3)', 'content': [[], ['Chest, Shoulders and Arms'], ['Exercise', 'Sets', 'Reps'], ['A1. Incline Bench Press *', '3', '10'], ['A2. Side Plank - per side', '2', '20'], ['B1. Dumbbell Chest Press *', '3', '10'], ['B2. Tall Kneeling Cable Chop - per side', '2', '8'], ['C1. Tall Kneeling Neutral Grip Dumbbell Front Raise *', '3', '10'], ['C2. Bear Crawls', '2', '20 yards'], ['D1. Neutral Grip Dumbbell Biceps Curl', '3', '10'], ['D2. Supine Barbell Triceps Press (Skull Crushers)', '3', '10']]}, {'title': 'Phase II Workouts (Weeks 4-6)', 'content': [[], ['Lower Body and Back'], ['Exercise', 'Sets', 'Reps'], ['A1. Hang Clean *', '4', '4'], ['A2. Plank to Opposite Raise - per side', '2', '8'], ['B1. Front Squat *', '4', '6'], ['B2. Chin-Ups', '4', '6'], ['B3. Tall Kneeling Suspension Roll-Outs', '2', '8'], ['C1. Dumbbell Reverse Lunge * - per leg', '4', '6'], ['C2. Chest Supported Dumbbell Row', '4', '6'], ['C3. Half Kneeling Belly Press', '2', '8'], ['D1. Back Squat - bodyweight on bar in as few sets as possible', '', '25'], ['D2. Side Lying Dumbbell Reverse Fly', '4', '6']]}, {'title': 'Phase II Workouts (Weeks 4-6)', 'content': [[], ['Chest, Shoulders and Arms'], ['Exercise', 'Sets', 'Reps'], ['A1. Bench Press *', '4', '6'], ['A2. Feet Elevated Side Plank - per side', '2', '20'], ['B1. Incline Dumbbell Chest Press *', '4', '6'], ['B2. Half Kneeling Cable Lift - per side', '2', '8'], ['C1. Half Kneeling Dumbbell Single Arm Overhead Press * - per arm', '4', '6'], ['C2. Suitcase Walks - per arm', '2', '20 yards'], ['D1. Cable Biceps Curl', '4', '6'], ['D2. Cable Triceps Press', '4', '6'], ['E. Hands on Bench Push-Ups', '1', 'Max']]}, {'title': 'Phase II Workouts (Weeks 4-6)', 'content': [[], ['Lower Body and Back'], ['Exercise', 'Sets', 'Reps'], ['A1. Hang Snatch *', '4', '4'], ['A2. Plank to Opposite Raise - per side', '2', '8'], ['B1. Deadlift *', '4', '6'], ['B2. Feet Elevated Suspension Supine Row', '4', '6'], ['B3. Extended Plank Front Arm Raise - per arm', '2', '8'], ['C1. Rear Foot Elevated Dumbbell Split Squat * - per leg', '4', '6'], ['C2. Standing One Arm Cable Row - per arm', '4', '6'], ['C3. Reverse Hyper', '2', '8'], ['D1. Sliding Leg Curl', '4', '6'], ['D2. Tall Kneeling X Pull-Downs', '4', '6']]}, {'title': 'Phase II Workouts (Weeks 4-6)', 'content': [[], ['Chest, Shoulders and Arms'], ['Exercise', 'Sets', 'Reps'], ['A1. Close Grip Bench Press *', '4', '6'], ['A2. Feet Elevated Side Plank - per side', '2', '20 sec'], ['B1. Cable Chest Fly', '4', '6'], ['B2. Half Kneeling Cable Chop - per side', '2', '8'], ['C1. Neutral Grip Dumbbell Lateral Raise *', '4', '6'], ['C2. Lateral Crawls', '2', '10 yards'], ['D1. Dumbbell Biceps Curl', '4', '6'], ['D2. Dumbbell Overhead Triceps Press', '4', '6']]}, {'title': 'Phase III Workouts (Weeks 7-9)', 'content': [[], ['Lower Body and Back'], ['Exercise', 'Sets', 'Reps'], ['A1. Hang Clean *', '4', '3'], ['A2. Plank with Overhead Cable Row - per arm', '2', '8'], ['B1. Front Split Squat * - per leg', '4', '8'], ['B2. Chin-Ups', '4', '8'], ['B3. Barbell Roll-Outs', '2', '8'], ['C1. Dumbbell Single Leg Deadlift * - per leg', '4', '8'], ['C2. Dumbbell Bent-Over Row - per arm', '4', '8'], ['C3. Standing Belly Press - per side', '2', '8'], ['D1. Front Squat - bodyweight on bar in as few sets as possible', '', '20'], ['D2. Barbell Shrug', '4', '8']]}, {'title': 'Phase III Workouts (Weeks 7-9)', 'content': [[], ['Chest, Shoulders and Arms'], ['Exercise', 'Sets', 'Reps'], ['A1. Bench Press *', '4', '8'], ['A2. Side Plank with Cable Row - per arm', '2', '8'], ['B1. Single Arm Incline Dumbbell Chest Press * - per arm', '2', '8'], ['B2. Standing Cable Lift - per side', '2', '8'], ['C1. Half Kneeling Dumbbell Alternating Overhead Press * - per arm', '4', '8'], ['C2. Half Waiter Walks - per arm', '2', '20'], ['D1. Barbell Biceps Curl', '4', '8'], ['D2. Cable Rope Triceps Press', '4', '8'], ['E. Push-Ups', '1', 'Max']]}, {'title': 'Phase III Workouts (Weeks 7-9)', 'content': [[], ['Lower Body and Back'], ['Exercise', 'Sets', 'Reps'], ['A1. Hang Snatch *', '4', '3'], ['A2. Plank with Overhead Cable Row', '2', '8'], ['B1. Front Reverse Lunge *', '4', '8'], ['B2. Weighted Suspension Supine Row', '4', '8'], ['B3. Extended Plank Opposite Raise', '2', '8'], ['C1. Dumbbell Single Leg Squat on Box *', '4', '8'], ['C2. Half Kneeling Cable Row - per arm', '4', '8'], ['C3. Single Leg Reverse Hyper - per leg', '2', '8'], ['D1. Glute Ham', '4', '8'], ['D2. Split Stance Cable Face Pulls', '4', '8']]}, {'title': 'Phase III Workouts (Weeks 7-9)', 'content': [[], ['Chest, Shoulders and Arms'], ['Exercise', 'Sets', 'Reps'], ['A1. Close Grip Bench Press *', '4', '8'], ['A2. Side Plank with Cable Row', '2', '8'], ['B1. Single Arm Dumbbell Chest Press - per arm', '4', '8'], ['B2. Standing Cable Chop - per side', '2', '8'], ['C1. Neutral Grip Dumbbell Front Raise *', '4', '8'], ['C2. Reverse Bear Crawls', '2', '20 yards'], ['D1. Neutral Grip Dumbbell Biceps Curl', '4', '8'], ['D2. Supine Barbell Triceps Press (Skull Crushers)', '4', '8']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [[], ['Lower Body and Back'], ['Exercise', 'Sets', 'Reps'], ['A1. Hang Clean *', '4', '3'], ['A2. Body Saw', '2', '8'], ['B1. Front Squat *', '4', '5'], ['B2. Weighted Chin-Ups', '4', '5'], ['B3. Standing Suspension Roll-Outs', '2', '8'], ['C1. Dumbbell Single Leg Deadlift * - per leg', '4', '5'], ['C2. Chest Supported Dumbbell Row', '4', '5'], ['C3. Split Stance Belly Press', '2', '8'], ['D1. Back Squat - bodyweight on bar in as few sets as possible', '', '50'], ['D2. Side Lying Dumbbell Reverse Fly - per arm', '4', '5']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [[], ['Chest, Shoulders and Arms'], ['Exercise', 'Sets', 'Reps'], ['A1. Bench Press *', '4', '5'], ['A2. Side Plank with Cable Row - per arm', '2', '8'], ['B1. Dumbbell Chest Fly *', '4', '5'], ['B2. Split Stance Cable Lift - per side', '2', '8'], ['C1. Single Arm Dumbbell Overhead Press * - per arm', '4', '5'], ['C2. Waiter Walks', '2', '20 yards'], ['D1. Cable Biceps Curl', '4', '5'], ['D2. Cable Triceps Press', '4', '5'], ['E. Feet Elevated Push-Ups', '1', 'Max']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [[], ['Lower Body and Back'], ['Exercise', 'Sets', 'Reps'], ['A1. Hang Snatch *', '4', '3'], ['A2. Body Saw', '2', '8'], ['B1. Deadlift *', '4', '5'], ['B2. Weighted Feet Elevated Suspension Supine Row', '4', '5'], ['B3. Extended Plank Dumbbell Row - per arm', '2', '8'], ['C1. Dumbbell Rear Foot Elevated Split Squat * - per leg', '4', '5'], ['C2. Cable Row', '4', '5'], ['C3. Reverse Hyper', '2', '8'], ['D1. Front Reverse Lunge - per leg with half of bodyweight on bar in as few sets as possible', '', '25'], ['D2. Tall Kneeling X Pull-Downs', '4', '5']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [[], ['Chest, Shoulders and Arms'], ['Exercise', 'Sets', 'Reps'], ['A1. Incline Bench Press *', '4', '5'], ['A2. Side Plank with Cable Row', '2', '8'], ['B1. Dumbbell Chest Press', '4', '5'], ['B2. Split Stance Cable Chop - per side', '2', '8'], ['C1. Neutral Grip Dumbbell Lateral Raise *', '4', '5'], ['C2. Lateral Crawls', '2', '15 yards'], ['D1. Dumbbell Biceps Curl', '4', '5'], ['D2. Triangle Push-Ups', '4', 'Failure']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Workout Day Meal Plan', 'Foods'], ['Breakfast', 'Whole Grain Carbohydrate, Fruit, Lean Protein'], ['Morning Snack', 'Lean Protein, Vegetable'], ['Lunch', 'Whole Grain Carbohydrate, Lean Protein, Vegetable, Fruit'], ['Pre-Workout Supplement', '2 Scoops Nano Vapor'], ['During Workout Supplement', '2 Scoops Amino Build'], ['Post Workout Supplement', '2 Scoops Nitro-Tech'], ['Dinner', 'Starch/Whole Grain, Lean Protein, Vegetable'], ['Night Snack', 'Mass-Tech Supershake']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Workout Day Meal Plan', 'Foods'], ['Breakfast', 'Lean Protein, Fruit, Vegetable, Whole grain, 2 scoops AnoTest'], ['Morning Snack', 'Lean Protein, Vegetable'], ['Lunch', 'Lean Protein, Vegetable, Legume'], ['Afternoon Snack', 'Lean Protein, Vegetable'], ['Dinner', 'Lean Protein, Vegetable'], ['Night Snack', 'Mass-Tech Supershake']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Monday Meal Plan (Workout Day 1)', 'Foods'], ['Breakfast', '2 cups of oatmeal with steel cut oats, 4 pieces of turkey sausage, Banana'], ['Morning Snack', 'Can of tuna, 1 cup of baby carrots'], ['Lunch', 'Whole Grain Sandwich with ½ pound of ham, lettuce, tomato and cheese, 1/2 sliced bell pepper, 1 cup of blueberries'], ['Pre-Workout Supplement', '2 Scoops Nano Vapor'], ['During Workout Supplement', '2 Scoops Amino Build'], ['Post Workout Supplement', '2 Scoops Nitro-Tech'], ['Dinner', '8 ounces of salmon, 1 cup of quinoa, 1 1/2  cup of steamed broccoli'], ['Night Snack', 'Chocolate Peanut Butter Supershake: 2 cups of unsweetened almond milk, 2 scoops chocolate Mass-Tech, 1/2 cup of spinach, 2 tsp of peanut butter, 1/4 cup of walnuts']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Tuesday Meal Plan (Workout Day 2)', 'Foods'], ['Breakfast', '2 cups of granola cereal with unsweetened almond milk, 1 cup raspberries, 2 eggs'], ['Morning Snack', '1 cup of unsalted almonds, 1 cup of celery'], ['Lunch', 'Whole grain turkey (1/3 lb) wrap with lettuce and cheese, 1/2 cup of grape tomatoes, apple'], ['Pre-Workout Supplement', '2 Scoops Nano Vapor'], ['During Workout Supplement', '2 Scoops Amino Build'], ['Post Workout Supplement', '2 Scoops Nitro-Tech'], ['Dinner', '8 ounce steak, baked sweet potato, 1 ½ cups steamed asparagus'], ['Night Snack', 'Pumpkin Pie Supershake: 2 cups of unsweetened coconut milk, 2 scoops of vanilla Mass Tech, 1 cup canned pumpkin, 1/2 tsp cinnamon, 1/4 tsp nutmeg']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Wednesday Meal Plan', 'Foods'], ['Breakfast', '4 egg omelet with black beans, onions, bell peppers, avocado on top, 2 slices whole grain toast, orange, 2 Scoops AnoTest'], ['Morning Snack', '2 turkey meatballs, 1 cup of snap peas'], ['Lunch', 'Field greens and kale salad with tomatoes, bell peppers, cucumber, chick peas and 2 cans of tuna'], ['Afternoon Snack', 'Small package of beef jerky, 1 cup of baby carrots'], ['Dinner', '8 ounces of baked chicken breast, 1 cup of rice, 2 cups steamed broccoli and cauliflower'], ['Night Snack', 'Berry Blast Supershake: 2 cups of unsweetened coconut milk, 2 scoops of vanilla Mass Tech, 1/2 cup of strawberries, 1/2 cup of blueberries, 1/2 cup of spinach, 1/4 cup of dark chocolate chips']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Thursday Meal Plan (Workout Day 3)', 'Foods'], ['Breakfast', '2 cups of oatmeal with steel cut oats, 4 pieces of bacon, Banana'], ['Morning Snack', 'Can of tuna, 1 cup of bell peppers'], ['Lunch', 'Whole Grain Sandwich with ½ pound of chicken, lettuce, tomato and cheese, 1 cup of celery, 1 cup of strawberries'], ['Pre-Workout Supplement', '2 Scoops Nano Vapor'], ['During Workout Supplement', '2 Scoops Amino Build'], ['Post Workout Supplement', '2 Scoops Nitro-Tech'], ['Dinner', '4 turkey meatballs, 2 cups of zucchini pasta with sauce, 2 cups of sautéed Swiss chard'], ['Night Snack', 'Banana Bread Supershake, 2 cups of unsweetened almond milk, 2 scoops vanilla Mass-Tech, 1/4 cup of shaved zucchini, 1 banana, 1/4 cup of dark chocolate chips']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Friday Meal Plan (Workout Day 4)', 'Foods'], ['Breakfast', '2 cups of granola cereal with unsweetened almond milk, 1 cup blueberries, 2 eggs'], ['Morning Snack', '1 cup of unsalted cashews, 1/2 cup of grape tomatoes'], ['Lunch', 'Whole grain salmon (2 cans) wrap with lettuce and cheese, 1 avocado, apple'], ['Pre-Workout Supplement', '2 Scoops Nano Vapor'], ['During Workout Supplement', '2 Scoops Amino Build'], ['Post Workout Supplement', '2 Scoops Nitro-Tech'], ['Dinner', '8 ounce pork chops, 1 ½ cups mashed sweet potatoes, 1 ½ cups sauteed green beans'], ['Night Snack', 'Chocolate Cherry Supershake, 2 cups of unsweetened almond milk, 2 scoops chocolate Mass-Tech, 1/2 cup of spinach, 1 cup of cherries, 1/4 cup of dark chocolate chips']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Saturday Meal Plan', 'Foods'], ['Breakfast', '8 ounce steak, 1 cup sautéed mushrooms, 2 cups of melon, 2 scoops AnoTest'], ['Morning Snack', '2 eggs, 1 cup of sautéed onions of green peppers'], ['Lunch', 'Field greens and kale salad with tomatoes, bell peppers, cucumber, chick peas and sliced chicken'], ['Afternoon Snack', 'Small package of beef jerky, 1 cup of snap peas'], ['Dinner', '2 ¼ lb turkey burgers on whole wheat buns, 2 corn on the cob, 1 cup of coleslaw'], ['Night Snack', 'Strawberry-Banana Supershake: 2 cups of unsweetened almond milk, 2 scoops of vanilla Mass Tech, 1/2 cup of strawberries, 1 banana, 1/2 cup of spinach, 2 tsp of  flax seeds']]}, {'title': 'Phase IV Workouts (Weeks 10-12)', 'content': [['Sunday Meal Plan', 'Foods'], ['Breakfast', '4 egg omelet with black beans, onions, bell peppers, avocado on top, 2 slices whole grain toast, orange, 2 scoops AnoTest'], ['Morning Snack', '1 can of tuna, 1 avocado'], ['Lunch', 'Field greens and kale salad with tomatoes, bell peppers, cucumber, chick peas and sliced steak'], ['Afternoon Snack', '1 cup of walnuts, 1 cup of celery'], ['Dinner', '8 ounces of pot roast, 2 cups of roasted red potatoes, 2 cups roasted carrots'], ['Night Snack', 'Nutty Chocolate Shake: 2 cups of unsweetened almond milk, 2 scoops of chocolate Mass Tech, 1/2 cup of steel cut or rolled oats, 2 tsp of crunchy peanut butter, 1/2 cup of spinach, 1/4 cup of dark chocolate chips']]}]","{'Main Goal': 'Sports Performance', 'Workout Type': 'Sports Training', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '60-75 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Other', 'Target Gender': 'Male & Female', 'Recommended Supps': 'NeuroCore (pre-workout)\nAmino Build (during workout)\nCell-Tech (post-workout)\nNitro-Tech (post-workout)\nMass-Tech (between meals)', 'Workout PDF': 'Download Workout'}"
