,title,content,Workout Title,Category,Routine Link,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
113,Weeks 5-8,"[['1a. Squat', '2 x 10', '3 x 12'], ['1b. Romanian Deadlift', '2 x 10', '3 x 12'], ['2a. Dumbbell Bench Press', '2 x 10', '3 x 8'], ['2b. Barbell Row', '2 x 10', '3 x 8'], ['3a. Kettlebell Press', '-', '3 x 12'], ['3b. Dumbbell Upright Row', '-', '3 x 12'], ['4. 1.5 mile run', '3 min warm up', 'comfortable pace']]",Boot Camp Burn: 12 Week Military Workout Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/12-week-military-workout-program,Lose Fat,Full Body,Beginner,3 weeks,7,45-60 minutes,"Barbell, Cables, Dumbbells, Medicine Ball, Other",Male & Female,
114,Weeks 9-12,"[['1a. Plyo Pushups', '20 jumping jacks', '3-4 rounds of 10-20 reps'], ['1b. Pull Up', '-', '3-4 rounds of 10-20 reps'], ['1c. Decline Sit Up', '-', '3-4 rounds of 10-20 reps'], ['2a. Walking Lunge', '-', '3-4 rounds of 10-20 reps'], ['2b. Squat Jump', '-', '3-4 rounds of 10-20 reps'], ['2c. Reverse Lunge', '-', '3-4 rounds of 10-20 reps'], ['3a. Push Up on Swiss Ball', '-', '3-4 rounds of 10-20 reps'], ['3b. Sit Up', '-', '3-4 rounds of 10-20 reps'], ['3c. Plank', '-', '3-4 rounds of 30 seconds'], ['4. 2 mile run', '3 min warm up', 'comfortable pace']]",Boot Camp Burn: 12 Week Military Workout Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/12-week-military-workout-program,Lose Fat,Full Body,Beginner,3 weeks,7,45-60 minutes,"Barbell, Cables, Dumbbells, Medicine Ball, Other",Male & Female,
115,Weeks 9-12,"[['1a. Goblet Squat', '2 x 10', '3 x 12'], ['1b. Kettlebell Romanian Deadlift', '2 x 10', '3 x 12'], ['2a. Incline Dumbbell Bench Press', '2 x 10', '3 x 8'], ['2b. Kettlebell Row', '2 x 10', '3 x 8'], ['3a. Single Arm Kettlebell Press', '-', '3 x 12'], ['3b. Dumbbell Shrug', '-', '3 x 12'], ['4. 2 mile run', '3 min warm up', 'comfortable pace']]",Boot Camp Burn: 12 Week Military Workout Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/12-week-military-workout-program,Lose Fat,Full Body,Beginner,3 weeks,7,45-60 minutes,"Barbell, Cables, Dumbbells, Medicine Ball, Other",Male & Female,
116,Monday: Upper Workout,"[['1a. Dumbbell Bench Press', '4', '8'], ['1b. Dumbbell Row', '4', '8'], ['2. Overhead Press', '4', '10*'], ['3a. Chin Up', '3', '12-15'], ['3b. Dips', '3', '12-15'], ['4a. Cable Curl', '2', '10-12'], ['4b. Cable Pressdown', '2', '10-12']]",The Body Fat Blaster: 8 Weeks to a Ripped Physique,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/body-fat-blaster-8-week-workout,Lose Fat,Split,Intermediate,4 weeks,4,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Male & Female,"Protein Powder, Greens Product, Sleep Enhancers"
117,Tuesday: Lower Workout,"[['1. Squats', '5', '20, 18, 15, 12, 10'], ['2a. Dumbbell Stiff Legged Deadlift', '4', '8'], ['2b. Dumbbell Split Squat', '4', '8 Each'], ['3. Leg Press', '3', '15, 12, 10*'], ['4a. Leg Curl', '3', '15'], ['4b. Leg Extension', '3', '15']]",The Body Fat Blaster: 8 Weeks to a Ripped Physique,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/body-fat-blaster-8-week-workout,Lose Fat,Split,Intermediate,4 weeks,4,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Male & Female,"Protein Powder, Greens Product, Sleep Enhancers"
118,Thursday: Upper Workout,"[['1. Bent Over Row', '4', '6*'], ['2. Incline Bench Press', '4', '6*'], ['3a. Seated Cable Row', '3', '12-15'], ['3b. Push Ups', '3', '12-15'], ['4. Lat Pull Down', '3', '6, 8, 10'], ['5a. Lateral Raise', '3', '10'], ['5b. Band Pull Apart', '3', '10**']]",The Body Fat Blaster: 8 Weeks to a Ripped Physique,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/body-fat-blaster-8-week-workout,Lose Fat,Split,Intermediate,4 weeks,4,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Male & Female,"Protein Powder, Greens Product, Sleep Enhancers"
119,Friday: Lower Workout,"[['1. Trap Bar Deadlift', '4', '12, 10, 8, 6'], ['2. Romanian Deadlift', '4', '8-10'], ['3. Lateral Lunges', '3', '15-20 Each'], ['4a. Narrow Leg Press', '3', '12'], ['4b. Wide Leg Press', '3', '12'], ['5a. Seated Calf Raise', '3', '20'], ['5b. Jump Rope', '3', '3 Mins']]",The Body Fat Blaster: 8 Weeks to a Ripped Physique,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/body-fat-blaster-8-week-workout,Lose Fat,Split,Intermediate,4 weeks,4,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Male & Female,"Protein Powder, Greens Product, Sleep Enhancers"
120,Saturday: Core & Active Recovery,"[['Ab Crunch', '3', '20'], ['Bicycle Crunch', '3', '20'], ['Leg Raise', '3', '10'], ['Oblique Crunch', '3', '15 Each'], ['Plank', '3', '30 Secs']]",The Body Fat Blaster: 8 Weeks to a Ripped Physique,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/body-fat-blaster-8-week-workout,Lose Fat,Split,Intermediate,4 weeks,4,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Male & Female,"Protein Powder, Greens Product, Sleep Enhancers"
121,Workout 1 (Metabolic Monday) Total Body Workout,"[['A1. Jog', '3', '20 Sec/10 Sec'], ['A2. Squat w/ Knee Raise', '-', '-'], ['A3. Plank Shoulder Taps', '-', '-'], ['B1. Shoulder Tap Push Ups', '3', '-'], ['B2. Jump Squats', '-', '-'], ['C1. Hand Release Push Ups', '2', '-'], ['C2. Lunge Jumps', '-', '-'], ['C3. Diamond Push Ups', '-', '-'], ['C4. Pop Squats', '-', '-'], ['D1. Push Up to Burpee', '4', '-'], ['D2. High Low Plank', '-', '-'], ['E1. Low Plank Hold', '2', '-'], ['E2. Squat Hold', '-', '-'], ['E3. Lunge Hold', '-', '-'], ['F1. Frog Jumps', '4', '-'], ['F2. Knee Push Up to High Plank', '-', '-'], ['G1. Push Ups', '2 Min', '5 Reps'], ['G2. Squats', '-', '5 Reps'], ['G3. High Low Planks', '-', '5 Reps'], ['G4. Squat Thrust', '-', '5 Reps']]",Tactical Tabata: 30 Day High-Intensity Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/tactical-tabata,Lose Fat,Full Body,Beginner,12 weeks,3,35-40 minutes,"Bodyweight, Dumbbells, Kettle Bells",Male & Female,"Whey Protein, Multivitamin, Fish Oil, Fat Burner (optional)"
122,Workout 2 (Turbo Tuesday) Cardio Conditioning,"[['A1. Walk Outs to Shoulder Taps', '3', '20 Sec/10 Sec'], ['A2. Half Jacks', '-', '-'], ['A3. Hop Squats', '-', '-'], ['B1. Plank Jacks to In-Out Abs', '4', '-'], ['B2. Standing Jacks to Vertical Jumps', '-', '-'], ['C1. Mountain Climbers', '2', '-'], ['C2. High Knees', '-', '-'], ['C3. 2 Squats to Jump Squats', '-', '-'], ['C4. 2 Wide Pike Ups to Burpees', '-', '-'], ['D1. Butt Kicks', '4', '-'], ['D2. Plank Butt Kicks', '-', '-'], ['E1. High Low Plank', '2', '-'], ['E2. Hop Squat', '-', '-'], ['E3. Chest Opener Jacks', '-', '-'], ['E4. Plank Arm and Leg Jacks', '-', '-'], ['F1. Ski Abs', '4', '-'], ['F2. Ski Jumps', '-', '-'], ['G1. Plank Jacks', '2 Min', '5 Reps'], ['G2. Jump Squats', '-', '5 Reps'], ['G3. Butt Kicks', '-', '5 Reps'], ['G4. Ski Jump', '-', '5 Reps']]",Tactical Tabata: 30 Day High-Intensity Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/tactical-tabata,Lose Fat,Full Body,Beginner,12 weeks,3,35-40 minutes,"Bodyweight, Dumbbells, Kettle Bells",Male & Female,"Whey Protein, Multivitamin, Fish Oil, Fat Burner (optional)"
123,Workout 3 (Wild Out Wednesdays) Legs & Abs,"[['A1. Squats', '3', '20 Sec/10 Sec'], ['A2. Jog', '-', '-'], ['A3. Lunges', '-', '-'], ['B1. 2 Squat Pulses to Squat', '2', '-'], ['B2. 2 Squat Pulses to Jump Squats', '-', '-'], ['B3. Squat Pulses', '-', '-'], ['B4. 2 Squat Pulses to Side to Side Hops', '-', '-'], ['C1. Leg Raises', '2', '-'], ['C2. Flutter Kicks', '-', '-'], ['C3. Leg Crosses', '-', '-'], ['C4. Six Inch Holds', '-', '-'], ['D1. Alternating Lunge Pulses', '2', '-'], ['D2. Lunge Jumps', '-', '-'], ['D3. Pop Lunge', '-', '-'], ['D4. Split Squat Jumps', '-', '-'], ['E1. Low Plank', '2', '-'], ['E2. High Plank', '-', '-'], ['E3. Side Plank', '-', '-'], ['E4. Plank Toe Taps', '-', '-'], ['F1. Lunge Squat', '2', '-'], ['F2. Lunge, Lunge, Squat', '-', '-'], ['F3. Lunge, Lunge, Floor Touch, Squat', '-', '-'], ['F4. Jane Fonda', '-', '-'], ['G1. Squats', '2 Min', '5 Reps'], ['G2. Leg Raise', '-', '5 Reps'], ['G3. Lunges', '-', '5 Reps'], ['G4. Calf Raise', '-', '5 Reps']]",Tactical Tabata: 30 Day High-Intensity Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/tactical-tabata,Lose Fat,Full Body,Beginner,12 weeks,3,35-40 minutes,"Bodyweight, Dumbbells, Kettle Bells",Male & Female,"Whey Protein, Multivitamin, Fish Oil, Fat Burner (optional)"
124,Workout 4: (Turned Up Thursday) Upper Body Workouts,"[['A1. Plank Taps', '3', '20 Sec/10 Sec'], ['A2. Jog', '-', '-'], ['A3. Arm Circles', '-', '-'], ['B1. Push Up w/ Row', '2', '-'], ['B2. Push Ups', '-', '-'], ['B3. Balance Row', '-', '-'], ['B4. Back Extension to Push Up', '-', '-'], ['C1. Half Sits', '2', '-'], ['C2. Leg Crosses', '-', '-'], ['C3. Plank Knee Crunch', '-', '-'], ['C4. Plank Punches', '-', '-'], ['D1. Push Ups to Punches', '2', '-'], ['D2. Diamond Push Ups', '-', '-'], ['D3. Plank Shoulder Taps', '-', '-'], ['D4. Tricep Dips', '-', '-'], ['E1. Oblique Twist', '2', '-'], ['E2. Tuck Ins', '-', '-'], ['E3. Bicycle Crunch', '-', '-'], ['E4. Crunch', '-', '-'], ['F1. Hand Release Push Ups', '2', '-'], ['F2. Plank Shrugs', '-', '-'], ['F3. Military Press', '-', '-'], ['F4. Slow to Explosive Push Up', '-', '-'], ['G1. Push Ups', '2 Mins', '5 Reps'], ['G2. Bicycle Crunch', '-', '5 Reps'], ['G3. High Knees', '-', '5 Reps']]",Tactical Tabata: 30 Day High-Intensity Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/tactical-tabata,Lose Fat,Full Body,Beginner,12 weeks,3,35-40 minutes,"Bodyweight, Dumbbells, Kettle Bells",Male & Female,"Whey Protein, Multivitamin, Fish Oil, Fat Burner (optional)"
125,Workout 5 (Fired Up Friday) Cardio 2,"[['A1. Jumping Jacks', '3', '20 Sec/10 Sec'], ['A2. Hollow Man', '-', '-'], ['A3. Heel Taps', '-', '-'], ['B1. Burpee', '4', '-'], ['B2. 180* Jump Squats', '-', '-'], ['B3. Suicide Runs', '-', '-'], ['B4. Jack Squats', '-', '-'], ['C1. Fast Feet', '4', '-'], ['C2. Push Ups', '-', '-'], ['C3. Knee Touch Jump Squats', '-', '-'], ['C4. Mountain Climbers', '-', '-'], ['D1. Speed Skater', '2', '-'], ['D2. Pop Squats', '-', '-'], ['D3. In-Out Abs to Burpee', '-', '-'], ['D4. Butt Kicks', '-', '-'], ['E1. Low Plank to Shoulder Tap', '2', '-'], ['E2. Superman', '-', '-'], ['E3. Crunches', '-', '-'], ['E4. Low Crunch', '-', '-'], ['F1. T Push Ups', '4', '-'], ['F2. Downward Dog to Plank Punches', '-', '-'], ['F3. Pop Side Lunges Alternating', '-', '-'], ['F4. Squats', '-', '-'], ['Plank', '2 Min', 'N/A']]",Tactical Tabata: 30 Day High-Intensity Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/tactical-tabata,Lose Fat,Full Body,Beginner,12 weeks,3,35-40 minutes,"Bodyweight, Dumbbells, Kettle Bells",Male & Female,"Whey Protein, Multivitamin, Fish Oil, Fat Burner (optional)"
126,Workout 6 (Super Saturdays) Strength Workout w/ Chair,"[['A1. Side to Side Squats', '3', '20 Sec/10 Sec'], ['A2. Jogs', '-', '-'], ['A3. Jack Punches', '-', '-'], ['B1. Heel Elevated Split Squats', '2', '-'], ['B2. Heel Elevated Split Squat Jumps', '-', '-'], ['B3. Heel Elevated Split Squat Pulses', '-', '-'], ['B4. Split Squat Pulses', '-', '-'], ['C1. Elevated Push Ups', '2', '-'], ['C2. Incline Push Ups', '-', '-'], ['C3. Push Ups to Chair Taps', '-', '-'], ['C4. Push Up Hold', '-', '-'], ['D1. Chair Step Up', '2', '-'], ['D2. Chair Squat', '-', '-'], ['D3. Chair Squat Jumps', '-', '-'], ['D4. Squat Hold', '-', '-'], ['E1. Feet Elevated Plank', '2', '-'], ['E2. Chair Plank', '-', '-'], ['E3. Chair Knee Ups', '-', '-'], ['E4. Chair Crunch', '-', '-'], ['F1. 4 Chair Jacks, 4 Standing Jacks', '2', '-'], ['F2. 4 Chair High Knees, 4 High Knees', '-', '-'], ['F3. 4 Chair Knee Ups, 4 Tuck Jumps', '-', '-'], ['F4. 4 Chair Punches, 4 Squat Punches', '-', '-'], ['G1. High Knees', '2 Mins', '10 Reps'], ['G2. Push Ups', '-', '10 Reps'], ['G3. Mountain Climbers', '-', '10 Reps'], ['Stiff Leg Deadlift', '4', '25']]",Tactical Tabata: 30 Day High-Intensity Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/tactical-tabata,Lose Fat,Full Body,Beginner,12 weeks,3,35-40 minutes,"Bodyweight, Dumbbells, Kettle Bells",Male & Female,"Whey Protein, Multivitamin, Fish Oil, Fat Burner (optional)"
127,Intermediate 230 - 230 total reps,"[['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['Barbell clean and press', '15'], ['Pull-ups', '25'], ['Split squat jumps', '30'], ['Feet-elevated push-ups', '30'], ['Hanging leg raises or lying leg raises', '40'], ['Two-arm kettlebell swing', '40'], ['30-50 yard sprint or sled push', ''], ['Perform the complex for one to three rounds', '']]",300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,Lose Fat,Single Muscle Group,Beginner,8 weeks,2,15-30 minutes,Dumbbells,Female,
128,Intermediate 230 - 230 total reps,"[['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['One-arm kettlebell or dumbbell clean and press', '15'], ['Barbell deadlifts', '20'], ['Box jumps', '30'], ['Renegade rows', '20'], ['Mountain climbers', '30'], ['Goblet squats', '20'], ['Inverted rows', '20'], ['2 minute jog', ''], ['Perform the complex for one to three rounds', '']]",300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,Lose Fat,Single Muscle Group,Beginner,8 weeks,2,15-30 minutes,Dumbbells,Female,
129,Intermediate 230 - 230 total reps,"[['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['One-arm kettlebell or dumbbell push press', '15'], ['Reverse-grip chin-ups', '25'], ['Walking lunges', '15 Each Leg'], ['Close-Grip push-ups', '30'], ['Floor wipers', '40'], ['Barbell upright row', '40'], ['30-50 yard sprint or sled push', ''], ['Perform the complex for one to three rounds', '']]",300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,Lose Fat,Single Muscle Group,Beginner,8 weeks,2,15-30 minutes,Dumbbells,Female,
130,Intermediate 230 - 230 total reps,"[['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['Kettlebell or dumbbell deadlifts', '20'], ['Two-arm kettlebell or dumbbell clean and press', '15'], ['Bench step-ups', '30'], ['Inverted rows', '20'], ['Floor leg raise/crunch combo', '15 Each'], ['Barbell squats', '20'], ['Push-ups on dumbbells', '20'], ['2 minute jog', ''], ['Perform the complex for one to three rounds', '']]",300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,Lose Fat,Single Muscle Group,Beginner,8 weeks,2,15-30 minutes,Dumbbells,Female,
131,Monday: Back Workout,"[['1. Wide Grip Lat Pull Down', '3', '20, 15, 10'], ['2. Bent Over Barbell Row', '4', '12, 10, 8, 6'], ['3. One Arm Dumbbell Row', '3', '12, 10, 8'], ['4. Single Arm Lat Pull Down', '3', '15'], ['5. Hyperextensions', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
132,Tuesday: Chest Workout,"[['1. Pec Deck', '3', '20, 15, 10'], ['2. Incline Dumbbell Press', '4', '12, 10, 8, 6'], ['3. Machine Bench Press', '3', '12, 10, 8'], ['4. Cable Crossover', '3', '15'], ['5. Push Up', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
133,Thursday: Leg Workout,"[['1. Leg Press', '3', '20, 15, 10'], ['2. Squat', '4', '12, 10, 8, 6'], ['3. Leg Extension', '3', '15'], ['4. Single Leg Curl', '3', '12, 10, 8 Each'], ['5. Stiff Legged Deadlift', '3', '15'], ['6. Seated Calf Raise', '3', '15'], ['7. Standing Calf Raise', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
134,Friday: Abs & Shoulders Workout,"[['1. Ab Crunch', '3', '15'], ['2. Hanging Leg Raises', '3', '15'], ['3. Bicycles', '3', '30 Secs'], ['4. Machine Overhead Press', '3', '12, 10, 8'], ['5. Single Arm Lateral Raise', '3', '12, 10, 8 Each'], ['6. Face Pull', '3', '15'], ['7. Cable Upright Row', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
135,Saturday: Arm Workout,"[['1. Rope Pressdown', '3', '20, 15, 10'], ['2. Lying Triceps Extension', '4', '12, 10, 8, 6'], ['3. Single Arm Overhead Extension', '3', '15 Each'], ['4. Preacher Machine Curl', '3', '20, 15, 10'], ['5. EZ Bar Curl', '4', '12, 10, 8, 6'], ['6. Incline Dumbbell Curl', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
136,Monday: Back Workout,"[['1. Close Grip Pull Down', '3', '20, 15, 10'], ['2a. T-Bar Row', '3', '12, 10, 8'], ['2b. Dumbbell Pull Over', '3', '12, 10, 8'], ['3a. Bent Over Dumbbell Row', '3', '15'], ['3b. Reverse Grip Pull Down', '3', '15'], ['3c. Hyperextensions', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
137,Tuesday: Chest Workout,"[['1. Cable Crossover', '3', '20, 15, 10'], ['2a. Smith Machine Incline Bench', '3', '12, 10, 8'], ['2b. Incline Dumbbell Press', '3', '12, 10, 8'], ['3a. Flat Dumbbell Fly', '3', '15'], ['3b. Dumbbell Bench Press', '3', '15'], ['3c. Push Ups', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
138,Thursday: Leg Workout,"[['1. Single Leg Press', '3', '20, 15, 10 Each'], ['2a. Goblet Squat', '3', '12, 10, 8'], ['2b. Leg Extension', '3', '12, 10, 8'], ['3a. Dumbbell Stiff Legged Deadlift', '3', '12, 10, 8'], ['3b. Lying Leg Curl', '3', '12, 10, 8'], ['4a. Leg Press Calf Raise', '3', '15'], ['4b. Seated Calf Raise', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
139,Friday: Abs & Shoulders Workout,"[['1a. Decline Sit Up', '3', '12'], ['1b. Lying Leg Raise', '3', '12'], ['1c. Twisting Crunch', '3', '12'], ['2. Arnold Press', '3', '20, 15, 10'], ['3a. Front Raise', '3', '12, 10, 8'], ['3b. Lateral Raise', '3', '12, 10, 8'], ['3c. Rear Lateral Raise', '3', '12, 10, 8'], ['4. Dumbbell Shrug', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
140,Saturday: Arm Workout,"[['1. Single Arm Pressdown', '3', '20, 15, 10 Each'], ['2a. Lying Tricep Extension', '3', '12, 10, 8'], ['2b.Neutral Grip Dumbbell Press', '3', '12, 10, 8'], ['2c. Diamond Push Up', '3', '12, 10, 8'], ['3. Single Arm Cable Curl', '3', '20, 15, 10 Each'], ['4a. Wide Grip Barbell Curl', '3', '12, 10, 8'], ['4b. Close Grip Barbell Curl', '3', '12, 10, 8'], ['4c. Hammer Curl', '3', '12, 10, 8'], ['5a. Cable Curl', '3', '15'], ['5c. Straight Bar Pressdown', '3', '15']]",Spring cLEANing Workout Program: 12 Weeks to Shredded!,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/spring-cleaning-12-weeks-to-shredded,Increase Strength,Single Muscle Group,Beginner,4 weeks,6,15-30 minutes,"Bands, Bodyweight, Dumbbells",Male & Female,
141,Day 1: Charles Glass’s Beginner Shoulder Workout,"[['Dumbbell Lateral Raise', '3-4', '12-15'], ['Rear Delt Cable Fly', '3-4', '12-15'], ['Seated Dumbbell Press', '4-5', '10-12'], ['Upright Barbell Row', '3-4', '10-12'], ['Seated Machine Lateral Raise', '3', '15']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,Build Muscle,Single Muscle Group,Beginner,6 weeks,3,20 minutes,Bodyweight,Male & Female,
142,Day 2: Charles Glass’s Beginner Leg Workout,"[['Leg Press', '5', '10-15'], ['Machine Hack Squat', '3-5', '10-15'], ['Elevated Stiff Legged Deadlift', '3-4', '12-15'], ['Lying Leg Curls', '3', '12-15'], ['Seated Calf Raise', '4-5', '15-20']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,Build Muscle,Single Muscle Group,Beginner,6 weeks,3,20 minutes,Bodyweight,Male & Female,
143,Day 3: Charles Glass’s Beginner Chest Workout,"[['Barbell Bench Press', '3-4', '10-12'], ['Incline Bench Press', '3-4', '10-15'], ['Decline Bench Press', '4-5', '10-12'], ['Incline Dumbbell Fly', '3', '12-15'], ['Dumbbell Pullover', '3-4', '12-15']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,Build Muscle,Single Muscle Group,Beginner,6 weeks,3,20 minutes,Bodyweight,Male & Female,
144,Day 4: Charles Glass’s Beginner Back Workout,"[['Behind Neck Lat Pulldown', '3-4', '12-15'], ['Seated Cable Row', '3-4', '12-15'], ['Deadlift', '4-5', '8-12'], ['Hammer Strength Lat Pulldown', '3-4', '10-15'], ['Cable Face Pull', '3', '15']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,Build Muscle,Single Muscle Group,Beginner,6 weeks,3,20 minutes,Bodyweight,Male & Female,
145,Day 5: Charles Glass’s Beginner Arm Workout,"[['Tricep Cable Pushdown', '3-4', '12-15'], ['Alternating Dumbbell Curls', '3-4', '12-15 Each'], ['Barbell Curl', '4-5', '10-15'], ['Seated Overhead Cable Tricep Extension', '3-4', '12-15'], ['Wrist Curls', '3', '15'], ['Reverse Wrist Curls', '3', '15']]","Charles Glass' ""Beginner Essentials"" Bodybuilding Workout",https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,Build Muscle,Single Muscle Group,Beginner,6 weeks,3,20 minutes,Bodyweight,Male & Female,
