,title,content,Workout Title,Category,Routine Link,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
13,Day 5: Lower Body Focus,"[['1. Reverse Hack Squats', '3', '12'], ['2. Leg Press', '3', '12'], ['3. Leg Extension', '3', '15'], ['4. Leg Curls', '3', '15'], ['5. Standing Calf Raises', '3', '25']]",Muscle & Strength’s 10 Week Women’s Fat Loss Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-fat-loss-workout,Lose Fat,Split,Intermediate,10 weeks,6,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Male & Female,"Whey Protein Isolate, Fat Burner, CLA, Fish Oil"
14,"Weekends: Cardio, Abs, & Glutes","[['Plank', '3', '30 Secs'], ['Bodyweight Glute Bridge', '3', '15'], ['Ab Crunch', '3', '20'], ['Glute Kick Back', '3', '12'], ['Mountain Climbers', '3', '12 Each'], ['Side Lying Clams', '3', '12 Each'], ['Oblique Crunch', '3', '12 Each']]",Muscle & Strength’s 10 Week Women’s Fat Loss Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-fat-loss-workout,Lose Fat,Split,Intermediate,10 weeks,6,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Male & Female,"Whey Protein Isolate, Fat Burner, CLA, Fish Oil"
15,Workout A - Chest and Triceps,"[['Incline Dumbbell Press', '4', '12-15'], ['Flat Dumbbell Press', '3', '12'], ['Incline Flys', '3', '12'], ['Pec Deck', '3', '12'], ['Skull Crushers', '4', '12-15'], ['Rope Extensions', '3', '12'], ['Straight Bar Pushdowns', '3', '12'], ['Rope Crunch', '4', '20-25'], ['Hanging Knee Raise', '4', '20-25']]",Doug's 6 Day Cutting Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html,Lose Fat,Split,Beginner,6 weeks,4,30-60 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Fish Oil"
16,Workout A - Back and Biceps,"[['Wide Grip Chins', '4', '12-15'], ['Wide Grip Rows', '3', '12'], ['Narrow Grip Pulldown', '4', '12-15'], ['Hyper Extensions', '3', '12'], ['Concentration Curls', '4', '12-15'], ['EZ Bar Curl', '3', '12']]",Doug's 6 Day Cutting Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html,Lose Fat,Split,Beginner,6 weeks,4,30-60 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Fish Oil"
17,Workout A - Legs and Shoulders,"[['Squats', '4', '12-15'], ['Leg Extensions', '3', '12'], ['Leg Curl', '4', '12-15'], ['Stiff Leg Deadlifts', '3', '12'], ['Seated Calf Raise', '3', '12'], ['Dumbbell Shoulders Press', '4', '12-15'], ['Cable Lateral Raise', '3', '12'], ['Reverse Cable Fly', '3', '12'], ['Smith Machine Shrugs', '4', '12-15'], ['Rope Crunch', '4', '20-25'], ['Hanging Knee Raise', '4', '20-25']]",Doug's 6 Day Cutting Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html,Lose Fat,Split,Beginner,6 weeks,4,30-60 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Fish Oil"
18,Workout B - Chest and Triceps,"[['Incline Barbell Press', '4', '12-15'], ['Flat Barbell Press', '3', '12'], ['Flat Flys', '3', '12'], ['Cable Crossovers', '3', '12'], ['Reverse Grip Pushdown', '4', '12-15'], ['Dumbbell Kickbacks', '3', '12'], ['Dumbbell Extension', '3', '12'], ['Weighted Incline Crunches', '4', '20-25'], ['Hip Thrusts', '4', '20-25']]",Doug's 6 Day Cutting Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html,Lose Fat,Split,Beginner,6 weeks,4,30-60 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Fish Oil"
19,Workout B - Back and Biceps,"[['Wide Grip Pulldowns', '4', '12-15'], ['Bent Over Dumbbell Rows', '3', '12'], ['Good Mornings', '3', '12'], ['One Arm Dumbbell Row', '3', '12'], ['Preacher Curl', '4', '12-15'], ['Dumbbell Curl', '3', '12']]",Doug's 6 Day Cutting Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html,Lose Fat,Split,Beginner,6 weeks,4,30-60 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Fish Oil"
20,Workout B - Legs and Shoulders,"[['Leg Press', '4', '12-15'], ['Lunges', '3', '12'], ['Leg Curl', '4', '12-15'], ['Straight Leg Deadlifts', '3', '12'], ['Standing Calf Raises', '3', '12-15'], ['Smith Machine Press', '4', '12-15'], ['Dumbbell Lateral Raises', '3', '12'], ['Dumbbell Rear Delt Flys', '3', '12'], ['Upright Rows', '3', '12'], ['Weighted Incline Crunches', '4', '20-25'], ['Hip Thrusts', '4', '20-25']]",Doug's 6 Day Cutting Routine,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html,Lose Fat,Split,Beginner,6 weeks,4,30-60 minutes,Bodyweight,Male & Female,"Protein Powder, BCAA's, Fish Oil"
21,Monday - Chest and Triceps,"[['Dumbbell Bench Press*', '4', '8, 8, 6, 6'], ['Incline Bench Press*', '4', '8, 8, 6, 6'], ['Cable Crossovers', '4', '8'], ['Close Grip Bench Press', '3', '8'], ['Lying Tricep Extension', '3', '8'], ['Rope Pulldowns', '3', '8']]",Fat Blaster: 6 Day Weight/Cardio Cutting Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/20-6-day-weight-cardio-cutting-workout.html,Lose Fat,Split,Intermediate,3 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Pre-Workout, Whey Protein, Casein Protein, Fat Burner (optional)"
22,Wednesday - Back and Biceps,"[['Wide Grip Pull Up*', '4', '8 (slow)'], ['Close Grip Pull Down', '4', '8, 8, 6, 6'], ['Cable Row', '4', '8'], ['Barbell Curl', '3', '8, 8, 6'], ['Incline Bench Dumbbell Curl', '3', '8'], ['Dumbbell Preacher Curl', '3', '8']]",Fat Blaster: 6 Day Weight/Cardio Cutting Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/20-6-day-weight-cardio-cutting-workout.html,Lose Fat,Split,Intermediate,3 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Pre-Workout, Whey Protein, Casein Protein, Fat Burner (optional)"
